Estado Nome,26/02/20,27/02/20,28/02/20,29/02/20,01/03/20,02/03/20,03/03/20,04/03/20,05/03/20,06/03/20,07/03/20,08/03/20,09/03/20,10/03/20,11/03/20,12/03/20,13/03/20,14/03/20,15/03/20,16/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20,26/03/20,27/03/20,28/03/20,29/03/20,30/03/20,31/03/20,01/04/20,02/04/20,03/04/20,04/04/20,05/04/20,06/04/20,07/04/20,08/04/20,09/04/20,10/04/20,11/04/20,12/04/20
Pará,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116,0.0232,0.0232,0.0465,0.0581,0.0581,0.0814,0.1511,0.1511,0.1976,0.2092,0.2441,0.372,0.465,0.5347,0.5812,0.9299,0.9997,1.1857,1.6041,1.9412,1.9528,1.9761,2.5224,2.8595
Paraíba,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249,0.0249,0.0249,0.0249,0.0498,0.0747,0.0747,0.1244,0.224,0.3484,0.3484,0.3733,0.4231,0.4977,0.5226,0.7217,0.7964,0.8462,0.8711,0.8959,1.0204,1.3688,1.9661,2.1154,2.5136
Pernambuco,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0209,0.0209,0.0209,0.0209,0.0209,0.1674,0.1674,0.293,0.3139,0.3139,0.3871,0.4395,0.4395,0.4813,0.5022,0.586,0.7115,0.7638,0.8161,0.9103,0.994,1.1091,1.423,1.8416,2.1032,2.3334,3.6831,4.1958,5.8072,7.157,8.5382,10.0449
Piauí,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0917,0.1222,0.1222,0.1833,0.1833,0.2444,0.275,0.275,0.3361,0.4277,0.4888,0.5499,0.5499,0.5805,0.6416,0.6721,0.7027,0.7027,0.8554,0.9471,1.1609,1.222,1.2526,1.3442
Paraná,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0525,0.0525,0.0525,0.0525,0.0525,0.0525,0.1137,0.2012,0.2799,0.3761,0.4373,0.4898,0.5685,0.7084,0.8921,1.0408,1.1632,1.2944,1.3556,1.5655,1.9591,2.204,2.6325,3.4546,3.8307,4.0056,4.3992,4.714,5.3262,5.6236,5.9122,6.4545
Rio de Janeiro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0058,0.0058,0.0116,0.0174,0.0174,0.0463,0.0753,0.0927,0.0927,0.1274,0.139,0.1796,0.1911,0.2606,0.3765,0.6313,0.6893,1.0773,1.3496,1.7666,2.1431,2.4385,2.8555,3.232,3.4753,3.8054,4.1008,4.819,5.7457,6.2207,7.2169,8.0742,8.4622,9.777,11.2251,12.8353,14.2717,15.1,16.5364
Rio Grande do Norte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285,0.0285,0.0285,0.0285,0.0285,0.0285,0.0285,0.0285,0.1711,0.2566,0.3707,0.3707,0.3992,0.5418,0.7984,1.2832,1.9391,2.1957,2.3383,2.6234,2.9941,5.0187,6.0453,6.9008,7.0148,7.243,7.4426,7.4426,7.4996,8.241,8.6117
Rondônia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0563,0.0563,0.1688,0.1688,0.1688,0.2813,0.2813,0.3376,0.3376,0.3376,0.3376,0.4501,0.5064,0.5627,0.5627,0.6189,0.6752,0.7877,1.0128,1.0128,1.5755,1.8006,1.8568,1.9694
Roraima,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3302,0.3302,0.3302,1.3207,1.3207,1.6508,1.981,2.6413,2.6413,2.6413,3.6318,4.2921,4.9524,6.108,6.9334,6.9334,6.9334,8.089,8.5842,10.4001,12.3811,13.0414
Rio Grande do Sul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0088,0.0176,0.0352,0.0352,0.0527,0.0527,0.0527,0.0879,0.167,0.2461,0.3252,0.5274,0.6328,0.7559,0.8614,1.0811,1.4766,1.7139,1.7315,1.9864,2.1183,2.4083,2.6896,2.9357,3.4806,3.6037,3.674,4.2277,4.4651,4.8782,5.4319,5.5901,5.6253,5.7395
Santa Catarina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0279,0.0558,0.0837,0.0977,0.0977,0.1396,0.2791,0.2931,0.7118,0.7956,0.9491,1.4934,1.5213,1.7028,2.0796,2.5681,2.7077,2.7496,3.0566,3.2799,3.4474,3.922,4.6617,4.9827,5.2898,5.8201,6.3784,6.9925,9.6723,10.2166,10.7191
Sergipe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0435,0.0435,0.174,0.2175,0.261,0.261,0.435,0.435,0.435,0.6525,0.696,0.696,0.696,0.696,0.696,0.696,0.8266,0.8701,1.0006,1.0876,1.1746,1.3921,1.3921,1.5661,1.5661,1.6966,1.8271,1.8271,1.9141
São Paulo,0.0022,0.0022,0.0022,0.0044,0.0044,0.0044,0.0044,0.0065,0.0131,0.0218,0.0283,0.0348,0.0348,0.0414,0.0653,0.0915,0.122,0.1416,0.2962,0.331,0.3572,0.5227,0.6228,0.8624,0.9996,1.3742,1.6224,1.764,1.8772,2.291,2.6634,3.0619,3.1599,3.3036,5.0937,6.4919,7.6352,8.8155,9.7258,10.0612,10.5969,12.3739,14.6083,16.2895,17.8924,18.3344,19.0662
Tocantins,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0636,0.0636,0.1272,0.1272,0.3179,0.445,0.445,0.445,0.5086,0.5722,0.5722,0.6358,0.6994,0.7629,0.7629,0.7629,0.8901,1.0808,1.0808,1.208,1.4623,1.4623,1.4623,1.4623,1.5895
