Estado Nome,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
Minas Gerais,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0047,0.0094,0.0142,0.0189,0.0283,0.0283,0.0283,0.0425,0.052,0.0661,0.0709,0.0803,0.0803,0.0945,0.1087,0.1275,0.1417,0.1559,0.1653,0.1842,0.1842,0.1937,0.2079,0.222,0.2409,0.2551,0.274,0.2882,0.2929,0.3354,0.3779,0.3874,0.4157,0.4157,0.4204,0.4252,0.444,0.4582,0.5007,0.5244,0.5574,0.5621,0.5716,0.5999,0.6377,0.6566,0.6897,0.7086,0.7369,0.7606,0.7889,0.8361,0.9023,0.9495,1.0251,1.0676,1.0865,1.1054,1.1337,1.2046,1.2141,1.2424,1.2802,1.3133,1.3652,1.4455,1.5258,1.625,1.7384,1.7762,1.7951,1.8849,1.9321,2.036,2.1069,2.1447,2.2439,2.2722,2.3714,2.5368,2.6926,2.8344,3.0044,3.1225,3.2501,3.4012,3.6422
Mato Grosso do Sul,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036,0.036,0.036,0.036,0.036,0.036,0.036,0.072,0.072,0.072,0.072,0.072,0.072,0.1439,0.1439,0.1439,0.1799,0.1799,0.1799,0.1799,0.1799,0.2159,0.2159,0.2519,0.2519,0.2519,0.2519,0.3239,0.3239,0.3239,0.3239,0.3239,0.3239,0.3598,0.3598,0.3598,0.3598,0.3598,0.3958,0.3958,0.3958,0.3958,0.4318,0.4678,0.5038,0.5038,0.5398,0.5398,0.5757,0.5757,0.6117,0.6117,0.6117,0.6117,0.6117,0.6117,0.6477,0.6477,0.6477,0.6837,0.7197,0.7197,0.7197,0.7197,0.7197,0.7557,0.7557,0.7557,0.7917,0.7917,0.8636,0.8996,1.0076,1.0076,1.1155,1.1875,1.2954,1.2954,1.4034,1.4394,1.5473,1.6193,1.6913,1.9791,2.0151,2.0151
Mato Grosso,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0574,0.0574,0.0861,0.0861,0.1148,0.1148,0.1148,0.1435,0.1435,0.1435,0.1435,0.1722,0.1722,0.1722,0.2009,0.2296,0.2583,0.2583,0.287,0.3157,0.3157,0.3157,0.3157,0.3444,0.3444,0.3731,0.3731,0.3731,0.4018,0.4305,0.4592,0.5166,0.5453,0.574,0.6027,0.6888,0.7462,0.7749,0.7749,0.861,0.9184,0.9184,0.9758,1.0619,1.0619,1.148,1.2053,1.234,1.3488,1.5497,1.6358,1.6645,1.808,1.9228,2.1524,2.2672,2.4107,2.6116,2.8986,3.243,3.616,4.0178,4.3909,4.6779,5.1945,5.7111,6.1128,6.3998,7.1747,7.8061,8.4661,9.241,9.7863,10.6186,11.3073,12.1396,12.7136
Pará,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116,0.0116,0.0116,0.0116,0.0116,0.0581,0.0581,0.0697,0.0814,0.1046,0.1279,0.1627,0.1627,0.2441,0.2441,0.3022,0.372,0.3836,0.3952,0.4068,0.4417,0.4998,0.6161,0.9997,1.1043,1.3251,1.4181,1.5344,1.8133,2.6038,3.0571,3.557,3.6848,3.9987,4.359,4.7659,5.6725,6.6722,7.0907,7.8114,9.4387,10.6244,11.8798,12.7283,13.6582,14.2162,14.8788,16.1807,18.0637,20.6675,22.0043,23.2829,24.9917,26.619,28.258,29.3158,30.2806,32.3729,33.7097,33.9422,33.9771,35.093,36.546,37.72,40.5911,42.6021,42.6021,42.7532,44.5782,45.3105,46.2637,47.5423,48.0305,48.7163,48.8326,49.8787,50.5646,51.0876,51.9478,52.529,53.273,53.5287,54.3075,54.9352,55.1909
Paraíba,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0249,0.0249,0.0249,0.0249,0.0747,0.0995,0.0995,0.0995,0.1742,0.2738,0.2738,0.3235,0.3235,0.3982,0.5226,0.5973,0.6471,0.6968,0.7217,0.7964,0.8213,0.9706,0.9955,1.095,1.1448,1.2195,1.2444,1.319,1.4186,1.543,1.6674,1.8417,1.8914,1.9661,2.1154,2.2896,2.5136,2.7625,2.8371,3.086,3.3598,3.4593,3.8326,3.9073,3.982,4.2308,4.5544,4.8281,5.1517,5.4503,5.7241,6.0974,6.172,6.4209,6.7693,6.9435,7.1177,7.4164,7.9141,8.1381,8.611,8.9594,9.2083,9.4323,10.3033,10.9006,11.2241,11.6223,12.0454,12.6178,13.2898,13.912,14.1857,15.1812,15.5047,15.7536,16.326,16.6993,17.3215,17.645,17.645,18.4912,19.0636,19.5116,19.5116,20.6066
Pernambuco,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0105,0.0314,0.0419,0.0523,0.0523,0.0628,0.0628,0.0837,0.0942,0.1046,0.1465,0.2197,0.3139,0.3558,0.4813,0.586,0.6801,0.7534,0.8894,1.0673,1.2033,1.4963,1.6742,1.9462,2.145,2.2601,2.4484,2.7205,2.9507,3.2646,3.6831,3.9866,4.3423,4.7086,5.3154,5.6293,5.9119,6.3095,6.5711,6.8222,7.2302,7.8371,8.4022,8.8416,9.6996,10.1705,10.9552,11.3738,12.1062,12.8073,13.5816,14.45,15.2871,15.8626,17.1601,18.2169,19.19,20.1422,21.5233,22.4337,23.0196,23.5219,24.3589,25.8238,26.8492,27.927,28.6699,29.3709,30.0824,30.6893,31.5159,32.7925,33.5354,34.2155,34.5817,35.0526,36.1303,36.9465,38.0137,38.652,39.5937,40.3366,40.661,41.4248,41.948,42.4502,42.9211,43.4024,44.3023,44.4906,45.4009,46.3008
Piauí,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0306,0.0306,0.0306,0.1222,0.1222,0.1222,0.1222,0.1222,0.1222,0.1222,0.1222,0.1528,0.1833,0.2139,0.2139,0.2139,0.2139,0.2444,0.2444,0.2444,0.2444,0.275,0.3055,0.3666,0.4277,0.4583,0.4583,0.4888,0.5194,0.5499,0.611,0.6416,0.7332,0.7332,0.7332,0.7943,0.8554,0.8554,0.886,0.9165,1.0693,1.1304,1.1609,1.2831,1.3748,1.497,1.7414,1.8331,1.8331,1.9858,2.1997,2.4441,2.5968,2.6579,2.7801,2.8412,3.0245,3.2689,3.3606,3.6356,4.0938,4.216,4.4604,4.7965,4.9187,5.1325,5.4992,5.8658,6.1713,6.6295,6.8434,7.3017,7.7599,8.096,8.6459,9.1347,9.6846,10.2345,10.9983,11.426,12.0065,12.1593,12.8619,13.2896,14.0229,14.8172,15.3365,15.7948,16.3142,16.6808
Paraná,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0175,0.0175,0.0175,0.0262,0.0262,0.0262,0.035,0.0437,0.0612,0.0875,0.1224,0.1312,0.1487,0.2099,0.2274,0.2361,0.2711,0.2886,0.3411,0.3586,0.3761,0.3848,0.4285,0.4548,0.4635,0.481,0.5248,0.5422,0.586,0.621,0.6559,0.6734,0.6909,0.7347,0.7696,0.8046,0.8134,0.8396,0.8484,0.8921,0.9096,0.9358,0.9533,0.962,0.9795,0.997,1.0145,1.0495,1.067,1.0845,1.102,1.1107,1.137,1.1632,1.2244,1.2594,1.3031,1.3381,1.3644,1.3993,1.4343,1.4606,1.5218,1.5568,1.6267,1.6355,1.7054,1.7842,1.8366,1.9241,2.0378,2.0903,2.134,2.1865,2.2739,2.4663,2.5188,2.6413,2.7987,2.9211,2.9911,3.2535,3.4459,3.6295,3.7432,3.8219,3.9444,4.1018,4.3554,4.5566
Rio de Janeiro,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0116,0.0116,0.0174,0.0174,0.0232,0.0348,0.0463,0.0521,0.0579,0.0753,0.0985,0.1043,0.1332,0.1622,0.2375,0.2722,0.3359,0.3707,0.4112,0.5155,0.614,0.7066,0.8514,0.8978,0.9847,1.0542,1.2974,1.5349,1.7434,1.9751,2.2415,2.3284,2.4443,2.6702,2.8381,3.0698,3.3015,3.5621,3.7359,3.9212,4.2746,4.5989,4.9464,5.3345,5.6241,5.9021,6.1686,6.5045,6.9795,8.0742,8.7055,9.5743,9.9276,10.252,11.1671,11.8738,13.0148,14.1211,15.1405,15.7255,16.519,17.8338,18.749,19.7626,21.1817,22.6181,23.1278,23.7765,25.2593,26.6725,28.1264,29.418,30.5648,30.9529,31.6364,32.9338,34.8104,36.6465,37.4922,38.4536,38.8475,39.2761,40.1276,41.3439,42.6471,42.9599,43.9735,44.4369,44.7612,46.1455,47.136,48.723,49.783,51.1093,51.4047,51.7407,53.0149,53.8374
Rio Grande do Norte,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0285,0.0285,0.0285,0.0285,0.057,0.057,0.1141,0.1711,0.1996,0.1996,0.2281,0.3137,0.3137,0.3137,0.3707,0.4848,0.5133,0.5418,0.5703,0.6559,0.6844,0.7414,0.7699,0.7984,0.827,0.9695,1.0836,1.1406,1.2547,1.2832,1.3687,1.5398,1.5969,1.5969,1.6824,1.7395,1.768,1.9391,2.0531,2.1672,2.3098,2.4809,2.4809,2.4809,2.652,2.9941,3.3363,3.4789,3.4789,3.8781,3.9637,4.5625,4.8477,5.0758,5.1613,5.2469,5.2469,6.0453,6.2734,6.9008,6.9008,7.6422,8.6973,8.6973,9.2105,9.7238,10.4652,10.7789,11.0355,11.6914,11.6914,12.2902,13.0887,13.8871,14.1437,14.6855,15.1988,15.2273,15.7691,16.6816,17.8508,18.6777,19.7613,19.8754,19.8754,20.8164,21.3867,23.2117,23.2117
