País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Bolívia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0942,0.2484,0.9166,1.662,3.0326,5.1229,9.0208,15.4373,25.3919,38.3877,61.1324,94.1573,125.4517,170.3329,226.0683,284.5793,355.9062,435.7655,534.1976,619.6082,714.1339,799.5188,867.1534
Bósnia e Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.1524,0.7925,5.0597,12.8017,23.2869,33.0101,40.9044,48.3111,59.3145,65.7763,70.7445,73.6401,77.2673,83.15,94.0314,109.3629,135.7283,171.3292,212.7822,267.8295,328.1498,391.8534,448.3027,491.0664
Botswana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1701,0.2551,0.5528,0.8505,0.978,0.978,1.0206,1.0631,1.4883,1.701,1.786,2.5514,3.7846,9.6529,13.3525,16.967,22.1974,31.4251,34.1891,45.3303,55.6211
Brasil,0.0,0.0,0.0,0.0,0.0,0.0009,0.0146,0.151,1.0571,2.6896,6.6024,11.8847,20.2668,34.4539,54.3166,83.842,127.9101,184.053,261.2836,347.9041,434.3204,539.0991,659.5996,784.9989,906.4872,1016.0237,1168.2338,1318.1825,1462.9462,1580.5322
Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.2286,12.8006,23.7726,29.4871,30.8586,31.0872,31.5444,31.5444,31.5444,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,32.4587,32.4587
Bulgária,0.0,0.0,0.0,0.0,0.0,0.0,0.0576,0.9642,3.1374,5.7423,8.304,10.2613,14.0319,20.134,24.5235,29.1144,32.5109,35.1589,36.5262,41.5776,49.6946,59.2075,71.8002,87.8182,110.0246,133.1809,156.4523,178.6587,197.483,208.6798
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.0718,0.5454,1.2486,1.837,2.5259,2.8704,3.0522,3.2914,3.6645,3.808,3.9802,4.2147,4.2625,4.2816,4.339,4.6022,4.7983,4.9609,5.0949,5.2863,5.5159,5.7934,6.1234
Myanmar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0276,0.0404,0.1158,0.2224,0.2757,0.2959,0.3308,0.3547,0.3786,0.4264,0.4521,0.4815,0.5367,0.5495,0.5808,0.6194,0.6267,0.6451,0.6543,0.6616,0.6911
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0168,0.0252,0.042,0.042,0.0925,0.1261,0.1261,0.3532,0.3532,0.5298,0.698,0.8746,1.211,1.4297,1.6063,2.2623,2.7584,3.1789,3.3219,3.4312,3.4733
Cabo Verde,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5396,1.0792,1.259,1.9785,12.2305,20.5041,33.454,48.0227,60.2532,70.1455,83.8149,105.2183,140.4709,176.6228,220.6886,269.6106,309.7195,378.9657,423.3912,473.2125,525.1921,576.0926
Camboja,0.006,0.006,0.006,0.006,0.006,0.006,0.012,0.1974,0.5443,0.652,0.6878,0.7297,0.7297,0.7297,0.7297,0.7297,0.7297,0.7417,0.7477,0.7536,0.7656,0.7776,0.8434,0.8434,0.9869,1.1783,1.3518,1.4534,1.603,1.6329
Camarões,0.0,0.0,0.0,0.0,0.0,0.0,0.0075,0.0377,0.2486,0.727,2.4787,3.1945,4.3811,6.4228,7.9259,10.1296,13.294,20.4778,24.8061,31.3118,37.1583,46.2219,47.4349,56.1895,57.1577,62.2395,64.7144,66.7449,68.6096,69.9996
Canadá,0.0053,0.0106,0.0185,0.0212,0.0291,0.0795,0.2093,1.2665,7.3923,22.5928,47.3529,71.6308,104.3979,135.5249,167.4918,191.8783,213.2708,233.3995,248.9524,260.2952,267.8358,274.9366,281.1101,286.2131,292.3786,300.6532,309.6564,317.0434,324.2767,329.1227
República Centro-Africana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0207,0.0621,0.0621,0.1656,0.2278,0.2899,1.0352,1.7599,2.9608,7.578,13.893,22.1336,38.3041,49.8989,63.1707,77.54,84.2898,90.1907,94.4352,95.222,95.6154,96.1744,96.6299
Chade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0183,0.0426,0.0609,0.14,0.2009,0.3166,1.035,2.1734,3.3179,4.2616,4.8886,5.1382,5.193,5.2356,5.2722,5.3148,5.3818,5.4122,5.6375,5.7105,5.7592,5.8384
