País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
Brunei,11.4291,20.1153,28.8014,30.8586,31.0872,31.5444,31.5444,31.5444,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,32.2301,32.4587,32.4587,,,,,,,
Bulgária,0.5901,2.3458,4.7637,7.239,9.5129,12.6359,17.9465,22.9404,27.6465,31.302,34.6552,35.9649,39.0159,47.0033,55.7247,66.5617,81.7017,103.2605,124.3156,148.4073,170.3403,192.0286,199.944,,,,,,,
Burkina Faso,0.0718,0.4736,1.1768,1.7414,2.3776,2.7795,3.0378,3.2148,3.6358,3.808,3.9802,4.052,4.2577,4.2768,4.3199,4.5878,4.7839,4.9562,5.0949,5.2623,5.5015,5.7599,5.8747,,,,,,,
Myanmar,0.0368,0.0423,0.1562,0.2555,0.2775,0.3235,0.3327,0.3657,0.3786,0.4337,0.4779,0.5256,0.5385,0.5587,0.59,0.623,0.6304,0.6488,0.6561,0.6782,,,,,,,,,,
Burundi,0.0252,0.042,0.042,0.0925,0.1261,0.1261,0.3532,0.3532,0.5298,0.698,0.7148,1.211,1.4297,1.6063,2.2623,2.708,3.1789,3.3219,3.4312,3.448,,,,,,,,,,
Cabo Verde,0.7194,1.0792,1.259,10.0722,14.7485,21.7631,39.2095,56.656,64.0303,70.1455,90.2899,118.1682,148.025,180.3999,233.9983,279.1432,340.6554,393.8941,434.9023,491.7381,552.7108,,,,,,,,,
Camboja,0.006,0.006,0.006,0.006,0.006,0.012,0.0419,0.5024,0.6161,0.6819,0.7297,0.7297,0.7297,0.7297,0.7297,0.7297,0.7417,0.7477,0.7536,0.7656,0.7716,0.8434,0.8434,0.9331,1.0228,1.3458,1.4355,1.5013,1.6329,
Camarões,0.0075,0.049,0.2825,1.1527,2.75,3.752,5.0253,6.9013,8.5399,11.1279,16.1532,20.4778,25.5746,32.7019,37.1583,47.4349,47.4349,56.1895,60.8645,62.2395,65.0007,66.7449,68.9674,,,,,,,
Canadá,0.0106,0.0185,0.0185,0.0238,0.053,0.1431,0.5246,3.3835,14.7739,34.386,61.7771,91.0282,122.8626,153.4783,182.6022,204.5617,225.6125,242.9141,255.616,265.0697,272.2738,277.8803,283.9928,289.1992,296.4192,305.9444,314.0335,320.9886,326.3725,
República Centro-Africana,0.0621,0.0621,0.1656,0.1656,0.2485,0.3313,1.4908,2.9608,6.7705,11.4291,19.9181,32.5067,42.59,55.6134,70.9972,82.1779,88.7828,92.8616,95.2013,95.5326,96.0916,96.3193,,,,,,,,
Chade,0.0183,0.0426,0.0609,0.14,0.2009,0.3166,1.035,2.2647,3.4397,4.3529,4.9921,5.1504,5.1991,5.2356,5.2722,5.3148,5.3878,5.4122,5.6375,5.7166,5.7775,5.7775,,,,,,,,
Chile,0.0105,0.068,0.4603,3.0968,10.5408,22.7817,38.5328,55.4399,76.0454,110.9687,168.4854,261.6419,419.9945,621.0439,838.8225,1054.7807,1238.4678,1400.7281,1526.6998,1632.2752,1720.2477,1797.3864,1870.968,1940.8825,1988.0205,,,,,
China,0.3827,1.6471,3.0838,5.156,5.4021,5.5763,5.6198,5.6317,5.6687,5.7165,5.747,5.7879,5.8259,5.8319,5.8339,5.8373,5.8405,5.8432,5.8473,5.8498,5.8654,5.8814,5.8906,5.8998,5.9213,5.9547,6.0438,6.1283,6.1805,6.1935
Colômbia,0.0177,0.2123,0.965,2.2817,4.3689,6.3538,8.9637,12.7882,18.5838,26.7477,36.0239,49.8517,69.0212,88.855,118.3443,158.401,208.5377,263.2968,340.4013,444.8902,562.1143,703.0064,852.5557,,,,,,,
Comores,0.92,1.2649,3.9098,10.0046,15.1794,18.6292,22.6541,30.4737,34.8436,35.9935,36.9135,38.7534,43.4682,44.6182,45.8831,45.8831,,,,,,,,,,,,,,
República do Congo,0.0544,0.0725,0.3987,1.0873,2.5915,3.6244,4.15,4.9655,7.0858,8.8255,10.3478,12.3775,13.193,16.0019,19.6989,28.2163,36.7519,47.7158,55.0553,57.9911,66.3998,67.8677,,,,,,,,
República Democrática do Congo,0.0033,0.0502,0.1094,0.201,0.2691,0.3908,0.5259,0.7872,1.2304,1.8189,2.6831,3.7137,4.7554,5.5537,6.7295,7.8594,8.2982,9.0832,9.5287,9.9072,10.2477,10.6061,10.7066,,,,,,,
Costa Rica,0.4319,1.3545,4.5346,7.7737,10.5808,12.6028,13.4665,14.1143,15.0173,16.2933,17.7263,19.6305,23.4388,30.1917,38.0635,52.6882,78.9734,127.3037,187.3926,257.7286,339.4111,413.6143,512.9249,,,,,,,
Costa do Marfim,0.019,0.2767,0.6786,1.3231,2.4187,3.4726,4.4848,5.55,7.0399,8.162,9.3903,11.464,15.145,21.5291,29.9641,36.0107,42.4364,49.4232,55.087,59.568,61.7667,63.867,64.0262,,,,,,,
Croácia,0.1705,0.2923,1.3885,7.6731,19.2436,29.7666,40.1923,45.8192,49.6679,51.1782,53.4923,54.2717,54.6615,54.7102,54.7346,54.9051,56.9025,66.3781,78.4358,91.955,106.4486,118.896,128.9563,137.6037,147.3717,,,,,
Cuba,0.0618,0.5032,1.8717,4.0347,7.1866,10.4974,12.9518,15.0354,15.9801,16.7746,17.428,18.6022,19.5204,20.1296,20.4739,20.7299,21.1802,21.5245,21.7364,22.8488,24.0672,27.6164,28.0225,,,,,,,
Chipre,2.1535,7.8684,17.7246,36.9401,52.4285,63.5271,67.6684,72.2238,74.3772,75.8681,77.4418,78.1872,79.8437,81.4174,81.6659,82.3285,83.0739,84.5647,85.9728,87.5465,95.2492,102.8692,108.0872,,,,,,,
República Tcheca,0.1774,1.7649,9.2913,24.5682,41.7593,54.4496,61.6865,68.6527,72.4159,75.5908,78.9524,83.0144,86.1893,89.3362,93.2955,97.563,105.5002,116.1642,122.4673,129.3774,142.049,155.9345,170.2776,181.1657,,,,,,
Dinamarca,0.1899,7.6655,19.2673,32.1467,56.8005,96.6299,118.7113,139.9813,158.9378,174.9939,187.5798,195.3489,201.6504,206.6744,210.9042,215.7038,221.2457,224.3361,226.1834,229.4982,234.0043,239.4254,249.3007,266.2718,269.155,,,,,
Diamond Princess,4715.7101,17084.3438,18997.5748,19024.5217,19024.5217,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,,,
Djibouti,303.6437,3036.4372,9109.3117,36740.8907,95647.7733,108502.0243,113360.3239,127125.5061,163765.1822,249797.5709,382489.8785,438360.3239,459412.9555,467307.6923,473886.6397,493724.6964,503947.3684,508805.668,512955.4656,531174.0891,541295.5466,542307.6923,,,,,,,,
Domínica,15.2807,19.4482,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,,,,,,,,,
República Dominicana,0.0184,0.1014,1.0325,6.628,13.7169,25.4335,39.9616,54.628,69.8568,91.0959,111.6344,132.9473,155.8641,176.9465,208.0769,237.631,282.2571,333.5573,397.4406,474.921,561.3616,658.3296,726.2044,766.3596,,,,,,
Equador,0.0737,0.1587,2.868,10.3327,19.6395,41.1323,51.1363,128.7702,155.6647,180.7,185.6991,205.5086,218.6186,242.1803,262.7436,281.873,309.3229,348.7775,380.9374,415.9257,453.6403,488.7589,530.3617,557.4035,,,,,,
