País Português,22/01/20,23/01/20,24/01/20,25/01/20,26/01/20,27/01/20,28/01/20,29/01/20,30/01/20,31/01/20,01/02/20,02/02/20,03/02/20,04/02/20,05/02/20,06/02/20,07/02/20,08/02/20,09/02/20,10/02/20,11/02/20,12/02/20,13/02/20,14/02/20,15/02/20,16/02/20,17/02/20,18/02/20,19/02/20,20/02/20,21/02/20,22/02/20,23/02/20,24/02/20,25/02/20,26/02/20,27/02/20,28/02/20,29/02/20,01/03/20,02/03/20,03/03/20,04/03/20,05/03/20,06/03/20,07/03/20,08/03/20,09/03/20,10/03/20,11/03/20,12/03/20,13/03/20,14/03/20,15/03/20,16/03/20,17/03/20,18/03/20,19/03/20,20/03/20,21/03/20,22/03/20,23/03/20,24/03/20,25/03/20,26/03/20,27/03/20,28/03/20,29/03/20,30/03/20,31/03/20,01/04/20,02/04/20,03/04/20,04/04/20,05/04/20,06/04/20,07/04/20,08/04/20,09/04/20,10/04/20,11/04/20,12/04/20,13/04/20,14/04/20,15/04/20,16/04/20,17/04/20,18/04/20,19/04/20,20/04/20,21/04/20,22/04/20,23/04/20,24/04/20,25/04/20,26/04/20,27/04/20,28/04/20,29/04/20,30/04/20,01/05/20,02/05/20,03/05/20,04/05/20,05/05/20,06/05/20,07/05/20,08/05/20,09/05/20,10/05/20,11/05/20,12/05/20,13/05/20,14/05/20,15/05/20,16/05/20,17/05/20,18/05/20,19/05/20,20/05/20,21/05/20,22/05/20,23/05/20,24/05/20,25/05/20,26/05/20,27/05/20,28/05/20,29/05/20,30/05/20,31/05/20,01/06/20,02/06/20,03/06/20,04/06/20,05/06/20,06/06/20,07/06/20,08/06/20,09/06/20,10/06/20,11/06/20,12/06/20,13/06/20,14/06/20,15/06/20,16/06/20,17/06/20,18/06/20,19/06/20,20/06/20,21/06/20,22/06/20,23/06/20,24/06/20,25/06/20,26/06/20,27/06/20,28/06/20,29/06/20,30/06/20,01/07/20,02/07/20,03/07/20,04/07/20,05/07/20,06/07/20,07/07/20,08/07/20,09/07/20,10/07/20,11/07/20,12/07/20,13/07/20,14/07/20,15/07/20
Diamond Princess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1643.7618,1643.7618,1724.6025,3637.8335,3637.8335,4715.7101,4715.7101,5874.4274,7679.8707,9566.1547,12233.8992,14605.2277,16734.034,17084.3438,17084.3438,17084.3438,18620.318,18620.318,18620.318,18997.5748,18997.5748,18997.5748,18997.5748,18997.5748,18997.5748,19024.5217,19024.5217,19024.5217,19024.5217,19024.5217,19024.5217,19024.5217,19024.5217,19024.5217,19024.5217,19024.5217,19024.5217,19024.5217,19024.5217,19024.5217,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032,19186.2032
Djibouti,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.2146,101.2146,101.2146,101.2146,101.2146,303.6437,303.6437,1113.3603,1113.3603,1214.5749,1417.004,1821.8623,1821.8623,3036.4372,3340.081,4048.583,4959.5142,5060.7287,5971.6599,9109.3117,9109.3117,13663.9676,13663.9676,15182.1862,18927.1255,21659.919,30161.9433,36740.8907,44028.3401,59817.8138,74089.0688,74089.0688,85627.5304,85627.5304,95647.7733,98582.996,99797.5709,101113.3603,102024.2915,103542.5101,104757.085,108502.0243,109008.0972,110222.6721,111032.3887,112550.6073,112550.6073,112955.4656,113360.3239,113765.1822,114676.1134,114878.5425,120344.1296,122469.6356,124190.2834,127125.5061,128340.081,129959.5142,132489.8785,134716.5992,141801.6194,153643.7247,163765.1822,185020.2429,207186.2348,229757.085,229757.085,229757.085,249797.5709,249797.5709,272975.7085,294939.2713,294939.2713,323279.3522,339473.6842,361234.8178,382489.8785,398279.3522,410323.8866,417307.6923,421963.5628,425809.7166,432995.9514,438360.3239,442611.336,445141.7004,449493.9271,450303.6437,451923.0769,455566.8016,459412.9555,460020.2429,461234.8178,462044.5344,462044.5344,463765.1822,465485.83,467307.6923,468623.4818,469129.5547,469939.2713,469939.2713,469939.2713,471255.0607,473886.6397,476113.3603,477226.7206,479352.2267,479352.2267,485020.2429,488056.6802,493724.6964,494838.0567,501518.2186,502834.0081,502834.0081,503238.8664,503744.9393,503947.3684,504554.6559
Domínica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3892,2.7783,2.7783,9.7241,15.2807,15.2807,15.2807,15.2807,15.2807,16.6699,16.6699,16.6699,16.6699,19.4482,19.4482,20.8374,20.8374,20.8374,20.8374,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,22.2265,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049,25.0049
República Dominicana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0092,0.0092,0.0092,0.0092,0.0092,0.0184,0.0184,0.0461,0.0461,0.0461,0.0461,0.0461,0.0461,0.1014,0.1014,0.1014,0.1936,0.1936,0.3134,0.6637,1.0325,1.8621,2.2585,2.8761,3.6136,4.4986,5.3559,6.628,7.9186,8.3057,10.2232,11.8364,12.7213,13.7169,13.7169,16.086,16.8512,18.0311,19.46,21.6539,24.1521,25.4335,27.3509,29.1946,30.2915,33.3152,34.615,38.035,39.9616,43.142,45.76,46.4974,48.8573,51.0974,52.9964,54.628,56.5547,58.0112,59.145,61.3206,64.2704,67.1834,69.8568,73.3229,75.9132,78.1717,81.1861,83.841,86.4314,91.0959,95.3824,98.0281,100.4802,103.2088,104.3519,108.2144,111.6344,113.515,117.3037,121.8944,124.2359,125.8952,128.9557,132.9473,136.441,138.9484,140.7091,144.9404,148.1207,152.3888,155.8641,159.3394,161.9851,163.6444,166.2993,168.8712,172.4572,176.9465,180.68,185.5288,188.1929,191.8158,197.6141,202.8778,208.0769,211.6721,214.5206,218.3462,222.2087,227.1866,231.086,237.631,245.9183,252.3067,257.5243,263.931,268.6324,274.3754,282.2571,289.2078,293.2915,300.2237,307.7736,315.2404,324.0071,333.5573,344.9973,351.4778,354.2618,364.9367,376.0171,386.3878,397.4406,410.5123,419.4909,426.8564,439.4487
Equador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034,0.034,0.0397,0.0567,0.0737,0.0737,0.0737,0.0794,0.085,0.085,0.0964,0.0964,0.0964,0.1587,0.1587,0.2097,0.3287,0.6291,1.1279,2.0801,2.868,4.472,5.5603,6.1327,6.6485,7.9521,9.0404,10.3327,10.9051,11.1205,12.6962,15.5755,17.9277,19.0897,19.6395,20.6654,21.2378,21.2378,25.2224,28.1414,40.5882,41.1323,42.3169,42.674,43.0934,44.5388,46.6189,47.8942,51.1363,53.6642,57.405,58.9354,61.4973,63.3847,128.7702,128.7702,128.7702,131.7232,137.4932,139.8567,141.3247,149.2712,155.6647,167.42,180.7,180.7,180.7,171.7276,163.3391,164.7731,167.539,167.2556,172.4135,172.7932,172.8839,178.3535,185.6991,188.074,190.3412,193.5663,197.5508,200.1127,203.0714,205.5086,208.3313,211.7264,211.7264,215.966,218.0518,218.6186,218.6186,221.6056,221.6056,229.0647,232.1934,232.1934,235.6451,242.1803,244.4021,245.8645,248.9195,251.8838,251.8838,259.4676,262.7436,264.9825,268.2189,271.7387,274.839,278.2795,281.873,281.873,287.0251,287.0251,292.7101,292.7101,301.2857,305.2533,309.3229,313.1827,315.5066,319.8539,330.1979,337.0618,343.801,348.7775,351.175,353.5669,358.4697,358.4697,364.0016,368.519,380.9374,384.684,388.0224,394.3195,398.6215
Egito,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.0029,0.0147,0.0147,0.0479,0.0537,0.0577,0.0586,0.0655,0.0782,0.1065,0.1075,0.1466,0.1915,0.1915,0.2502,0.2785,0.2873,0.3195,0.3577,0.3928,0.4456,0.4837,0.5238,0.5629,0.5951,0.641,0.6938,0.7612,0.8453,0.9625,1.0456,1.1462,1.2918,1.4169,1.5244,1.6602,1.7531,1.8948,2.0179,2.14,2.2964,2.4479,2.612,2.7791,2.9628,3.0723,3.257,3.4104,3.5755,3.8022,3.9987,4.2205,4.4306,4.6729,4.927,5.1478,5.4107,5.7605,6.0517,6.3175,6.6576,7.0367,7.4149,7.7989,8.2826,8.7595,9.1856,9.5237,9.8628,10.1931,10.582,10.9719,11.4517,11.95,12.4728,13.1764,13.9044,14.6608,15.4259,16.1363,16.8712,17.5571,18.3281,19.2174,20.3187,21.5783,22.9141,24.4151,25.7821,26.9079,27.9622,29.088,30.4052,31.8681,33.3016,34.6355,35.9889,37.4107,38.8198,40.3608,41.9996,43.5807,45.2331,46.7643,48.0962,49.2865,51.02,52.5317,53.9731,55.5131,56.8147,58.2023,59.7355,61.3235,62.4648,63.701,65.2312,66.7527,68.2214,69.6726,71.0524,72.3461,73.5364,74.4833,75.5161,76.5178,77.4461,78.4047,79.3067,80.1979,81.1076,82.0154,82.9076
El Salvador,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0154,0.0154,0.0463,0.0463,0.0463,0.0771,0.1388,0.2004,0.2004,0.2929,0.37,0.4625,0.4934,0.4934,0.6321,0.7092,0.8634,0.9559,1.0638,1.2026,1.4338,1.588,1.8038,1.8192,1.9272,2.1122,2.2972,2.4514,2.5284,2.7289,2.9293,3.0989,3.361,3.4689,3.6539,3.8543,4.2243,4.2243,4.5944,4.9798,5.319,5.8123,6.0898,6.537,6.8761,7.5545,8.5566,9.05,9.7592,10.715,11.4397,12.0872,13.706,14.7698,15.3865,15.9878,17.1441,18.655,19.5029,20.6284,21.7847,23.0952,24.2206,25.2844,26.5949,28.0441,29.5242,30.5726,31.4822,32.5152,33.8256,35.1207,36.9245,38.8054,39.8076,40.9022,41.7039,42.8756,43.924,45.2345,46.4833,47.8554,49.1967,50.4764,52.0027,53.6677,55.5487,57.3525,58.9867,60.7597,62.6869,64.7528,66.7416,68.9926,71.3206,74.1266,76.6704,79.3993,82.2669,85.0574,88.2951,91.4865,95.1712,99.2568,103.8512,107.9214,112.0378,115.7379,119.9006,123.755,128.0718,132.0649,136.3509,140.9453,144.7842,149.1473,153.8342,158.8448,164.1175
Guiné Equatorial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0713,0.0713,0.0713,0.2851,0.4277,0.4277,0.4277,0.4277,0.6415,0.6415,0.6415,0.8553,0.8553,0.8553,0.8553,0.8553,0.8553,1.0691,1.0691,1.1404,1.1404,1.1404,1.1404,1.1404,1.283,1.283,1.283,1.283,1.4968,1.4968,2.9223,3.6351,3.6351,5.6309,5.6309,5.6309,5.6309,5.916,5.9872,5.9872,15.2532,18.3894,18.3894,18.3894,22.4521,22.4521,22.4521,22.4521,22.4521,22.4521,22.4521,22.4521,31.2904,31.2904,31.2904,31.2904,31.2904,31.2904,31.2904,37.2064,41.5543,42.3383,42.3383,42.3383,51.2479,58.8032,63.4362,64.3628,68.4255,68.4255,68.4255,74.3415,74.3415,74.3415,74.3415,93.0872,93.0872,93.0872,93.0872,93.0872,93.0872,93.0872,93.0872,93.0872,93.0872,93.0872,93.0872,93.0872,93.0872,93.0872,93.0872,93.0872,93.0872,118.6043,118.6043,118.6043,118.6043,118.6043,118.6043,118.6043,118.6043,118.6043,142.6245,142.6245,142.6245,142.6245,142.6245,142.6245,142.6245,218.8904,218.8904,218.8904,218.8904,218.8904,218.8904,218.8904,218.8904,218.8904,218.8904,218.8904,218.8904,218.8904,218.8904
Eritreia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0282,0.0282,0.0282,0.0282,0.1128,0.1692,0.1692,0.1692,0.3384,0.3384,0.423,0.423,0.6203,0.6203,0.8177,0.8177,0.8741,0.8741,0.9305,0.9305,0.9587,0.9587,0.9587,0.9587,0.9587,0.9869,0.9869,0.9869,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.0997,1.1561,1.1561,1.1561,1.8328,2.707,3.0735,3.4119,3.6939,4.004,4.004,4.0322,4.0322,4.0322,4.0322,4.0604,4.0604,4.709,5.3857,5.3857,5.3857,5.7241,5.7241,6.0625,6.0625,6.0625,6.0625,6.0625,6.0625,6.0625,6.5418,6.5418,6.5418,6.5418,6.5418,6.5418,6.5418
Estónia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0754,0.0754,0.0754,0.0754,0.0754,0.1508,0.1508,0.2262,0.7538,0.7538,0.7538,0.7538,0.9046,1.2061,1.2061,5.9554,8.6692,12.8907,15.4538,16.9615,19.4492,20.1276,21.3338,23.0676,24.5753,26.5353,27.8168,30.4553,40.5568,43.346,48.6229,51.186,53.8998,56.1614,58.7244,64.6798,72.4444,78.3244,82.6966,83.5259,86.6166,89.3305,90.9889,94.8335,98.3012,98.6781,100.412,103.5027,105.5381,108.1012,109.9858,113.9812,115.1873,115.715,116.9965,117.5242,120.0119,120.9919,123.2534,123.8565,124.1581,125.138,125.5904,127.3242,127.7011,128.078,128.1534,128.3796,128.9827,129.1334,129.6611,130.038,130.6411,131.0934,131.2442,131.6211,131.998,132.5257,133.1288,133.4303,133.7319,134.4857,135.0134,135.2396,135.6919,136.2195,137.2749,137.4257,137.5011,138.2549,138.7072,139.5365,140.1395,140.5918,140.8934,140.9688,140.9688,141.7226,142.4765,143.9841,145.5672,146.1703,146.2457,146.7734,147.6026,148.1303,148.5072,148.7334,148.7334,148.8087,148.8841,149.0349,149.0349,149.1857,149.3364,149.3364,149.3364,149.4118,149.4872,149.5626,149.7134,149.7134,149.7887,149.7887,149.9395,149.9395,150.0149,150.0903,150.241,150.241,150.3164,150.3918,150.9949,151.598,151.7487,151.8241,151.8241,151.8241,151.8995,151.9749
Essuatíni,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.0862,0.3448,0.3448,0.3448,0.3448,0.5172,0.7758,0.7758,0.7758,0.7758,0.7758,0.7758,0.7758,0.7758,0.7758,0.7758,0.8619,0.8619,1.0343,1.0343,1.0343,1.0343,1.2067,1.2929,1.2929,1.2929,1.3791,1.3791,1.8963,1.8963,2.0687,2.672,2.672,2.672,3.103,4.8269,5.0855,5.6027,6.1198,7.8437,8.6195,9.1366,9.309,9.6538,9.9986,10.2572,10.6019,13.1878,13.705,14.0497,14.8255,15.0841,15.8598,16.1184,16.1184,16.377,17.4113,17.4975,17.6699,17.9285,18.7043,18.9628,19.3938,20.5143,21.5487,22.0658,22.4968,23.445,24.0483,24.0483,24.3931,24.5655,25.2551,25.3412,25.4274,25.8584,26.2894,27.7547,28.7028,29.3062,31.9782,34.3055,38.7014,40.6839,41.8906,42.2354,43.6145,44.8212,48.5276,50.5101,53.6993,54.0441,54.7336,55.4232,58.0952,59.4744,60.8535,62.7497,64.2151,67.3181,68.5248,69.9901,72.4036,75.248,78.351,82.2298,85.1604,87.1429,91.0216,98.0896,104.5542,108.3468,113.0013,116.4491,119.7245,123.6032,128.3439
Etiópia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009,0.0009,0.0009,0.0043,0.0043,0.0052,0.0052,0.0078,0.0078,0.0096,0.0096,0.0104,0.0104,0.0104,0.0139,0.0139,0.0183,0.02,0.0226,0.0252,0.0252,0.0304,0.0331,0.0374,0.0383,0.0452,0.0478,0.0487,0.0565,0.06,0.0618,0.0644,0.0713,0.0739,0.08,0.0835,0.0913,0.0939,0.0966,0.0992,0.1009,0.1009,0.1018,0.1061,0.107,0.1079,0.1096,0.1131,0.1139,0.1157,0.1157,0.1174,0.1218,0.1261,0.1409,0.1661,0.1687,0.1827,0.2079,0.2175,0.227,0.2288,0.2366,0.2496,0.2662,0.2757,0.3062,0.3175,0.3384,0.3471,0.3766,0.4297,0.5062,0.5697,0.6098,0.6359,0.7228,0.842,0.9246,1.0195,1.0934,1.1691,1.2926,1.4231,1.5701,1.6823,1.7571,1.8754,2.0319,2.1798,2.3225,2.5356,2.7539,2.9096,3.0627,3.1575,3.2697,3.4393,3.5403,3.8873,3.9421,4.0561,4.217,4.3788,4.5014,4.7189,4.845,4.9485,5.0851,5.0851,5.0851,5.0851,5.0851,5.0851,5.0851,5.0851,5.0851,5.8923,6.0654,6.1933,6.4386,6.576,6.7552,6.9318,7.1162
Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1116,0.1116,0.1116,0.2231,0.3347,0.4462,0.5578,0.5578,0.5578,0.5578,0.5578,0.5578,0.5578,0.5578,0.7809,0.7809,1.3386,1.3386,1.5617,1.6733,1.6733,1.6733,1.7848,1.7848,1.7848,1.7848,1.7848,1.7848,1.8964,1.8964,1.8964,1.8964,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.0079,2.1195,2.3426,2.3426,2.3426,2.9003,2.9003,2.9003,2.9003,2.9003,2.9003,2.9003
Finlândia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.018,0.0361,0.0361,0.0361,0.0541,0.1083,0.1083,0.1083,0.1083,0.2166,0.2707,0.2707,0.4151,0.5414,0.7219,1.0648,1.0648,2.7975,4.0608,4.4038,4.9994,5.7935,6.0642,7.2193,8.1217,9.4392,11.2982,12.6337,14.2942,15.8824,17.2902,18.7882,21.0622,22.3798,24.4012,25.5923,26.0977,27.3972,29.1478,33.9667,34.7789,39.2729,41.6552,44.8859,47.0156,49.9755,52.43,53.6753,55.2997,57.0503,58.422,60.8044,62.9702,66.4354,68.2763,69.8104,72.4455,74.521,77.3185,79.3218,80.7657,82.5885,84.7363,85.5484,88.5444,90.1507,91.1614,93.4175,94.8252,96.1427,97.6768,100.5826,102.3874,103.5605,106.1234,107.6033,108.0004,108.3433,109.2638,110.9062,112.4042,113.451,114.5519,115.1475,115.4904,116.2845,117.1869,117.9811,118.5406,118.7391,119.1,119.6234,120.7785,121.699,122.2946,123.197,123.7926,124.2618,124.2979,124.7311,124.7311,125.2725,125.6876,125.9945,126.3554,126.7886,127.0593,127.4925,127.6549,127.9076,128.2144,128.2866,128.3588,128.449,128.4851,128.7378,128.9002,128.9183,128.9363,129.1348,129.3514,129.4417,129.7846,129.9109,129.9109,130.1094,130.1997,130.5967,130.687,130.705,130.8133,130.9036,130.9758,131.066,131.1201,131.2645,131.3728,131.5894,131.6435,131.6616,131.7699,131.6796
França,0.0,0.0,0.0031,0.0046,0.0046,0.0046,0.0061,0.0077,0.0077,0.0077,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0169,0.0169,0.0169,0.0169,0.0169,0.0169,0.0169,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0184,0.0214,0.0276,0.0582,0.0873,0.1532,0.1992,0.2926,0.3125,0.4412,0.5822,1.005,1.4692,1.7404,1.8675,2.7484,3.5129,3.5129,5.6393,6.8879,6.9431,10.2385,11.8195,13.9781,16.8062,19.5454,22.1575,24.8845,30.8287,34.6572,39.2196,45.2726,51.1724,58.3774,62.3653,69.2011,80.9318,88.4723,91.8121,99.8904,106.475,109.4043,115.4266,121.2789,127.2446,133.846,140.544,145.3315,186.4646,192.1055,199.7211,204.6542,223.7891,226.8669,226.87,234.4152,238.0644,242.3158,238.9637,242.5226,245.0489,247.641,248.5235,254.2578,258.9917,255.1464,256.3046,256.3138,258.1721,258.7956,259.8037,261.495,266.9138,267.977,269.9441,270.8327,271.3107,272.0047,273.2333,272.9806,274.2215,275.1959,275.1959,275.2924,275.8408,277.1921,278.3671,278.7517,279.3691,279.89,279.9129,280.4614,280.1244,280.417,285.5124,286.3688,289.1709,289.5646,290.084,288.9105,289.4497,290.6248,291.5608,292.4479,292.9734,293.2966,293.9156,294.7505,295.4016,296.5154,297.3212,297.9448,298.1776,298.7046,299.4063,300.1217,301.3642,302.3462,302.7813,303.3528,304.1448,304.2689,304.2689,306.7017,306.7017,305.6002,308.7347,309.5636,310.9699,311.9795,312.8712,312.8712,312.8712,314.9777,315.7054,315.7054,317.6725,318.6821,318.6821,318.6821,321.1716,321.1716,322.5933
