País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57
Bahrein,47.0,85.0,214.0,334.0,499.0,700.0,1136.0,1881.0,2647.0,3383.0,4941.0,6956.0,9138.0,11398.0,14763.0,18227.0,21764.0,25705.0,29367.0,32941.0,36422.0,39131.0,41536.0,44011.0,46835.0,49330.0,51574.0,55415.0,60307.0,65039.0,69361.0,72662.0,75614.0,77902.0,80255.0,81923.0,83456.0,84703.0,85705.0,86787.0,87930.0,89143.0,90282.0,91733.0,93478.0,95558.0,97607.0,99817.0,103057.0,107329.0,112742.0,117809.0,,,,,
Bangladesh,3.0,25.0,48.0,70.0,482.0,2144.0,4998.0,8790.0,13770.0,20995.0,32078.0,44608.0,63026.0,84379.0,108775.0,133978.0,159679.0,181129.0,202066.0,221178.0,239860.0,255113.0,274525.0,292625.0,308925.0,323565.0,336044.0,347372.0,357873.0,367565.0,377073.0,387295.0,397507.0,407684.0,418764.0,430496.0,445281.0,460619.0,475789.0,489178.0,499560.0,508099.0,515184.0,521382.0,527063.0,531326.0,534770.0,537770.0,540266.0,543024.0,543351.0,,,,,,
Barbados,17.0,33.0,60.0,72.0,75.0,80.0,82.0,84.0,88.0,92.0,92.0,92.0,97.0,97.0,97.0,98.0,103.0,106.0,110.0,132.0,142.0,152.0,161.0,174.0,179.0,183.0,189.0,190.0,200.0,208.0,222.0,233.0,238.0,243.0,250.0,260.0,276.0,287.0,296.0,321.0,365.0,606.0,884.0,1095.0,1401.0,1558.0,1732.0,2268.0,2772.0,,,,,,,,
Bielorrússia,6.0,12.0,51.0,86.0,304.0,1486.0,4204.0,8022.0,14027.0,20168.0,26772.0,33371.0,39858.0,45981.0,51816.0,56657.0,60382.0,62698.0,64411.0,65623.0,66688.0,67665.0,68503.0,69203.0,69950.0,71165.0,72302.0,73591.0,74987.0,76651.0,79019.0,81982.0,85734.0,90380.0,96529.0,103295.0,110455.0,119390.0,130012.0,141609.0,154392.0,167731.0,181113.0,194284.0,206796.0,219663.0,232298.0,242851.0,253413.0,263551.0,273659.0,278312.0,,,,,
Bélgica,1.0,1.0,1.0,8.0,239.0,1058.0,3743.0,11899.0,20814.0,30589.0,39983.0,46687.0,50267.0,53449.0,55559.0,57342.0,58517.0,59348.0,60100.0,60550.0,61361.0,62058.0,62707.0,64094.0,66428.0,70314.0,74620.0,78534.0,82092.0,85236.0,88769.0,94306.0,103392.0,115353.0,132203.0,165880.0,230480.0,333718.0,447355.0,503182.0,537871.0,559902.0,577345.0,592615.0,609211.0,626911.0,639734.0,650887.0,665223.0,679771.0,694858.0,711417.0,726483.0,739488.0,754473.0,,
Belize,2.0,5.0,14.0,18.0,18.0,18.0,18.0,18.0,18.0,18.0,19.0,20.0,22.0,24.0,30.0,37.0,40.0,48.0,57.0,153.0,452.0,686.0,993.0,1194.0,1480.0,1627.0,1825.0,2131.0,2531.0,2813.0,3145.0,3577.0,4176.0,4861.0,5183.0,5743.0,7769.0,9295.0,9791.0,10561.0,10901.0,11303.0,11580.0,11750.0,11908.0,12037.0,12145.0,12244.0,,,,,,,,,
Benim,2.0,6.0,22.0,35.0,35.0,64.0,90.0,319.0,339.0,339.0,232.0,261.0,442.0,765.0,1149.0,1199.0,1378.0,1602.0,1770.0,1805.0,1936.0,2063.0,2115.0,2145.0,2213.0,2267.0,2280.0,2340.0,2357.0,2411.0,2496.0,2557.0,2683.0,2745.0,2844.0,2916.0,2974.0,3055.0,3090.0,3167.0,3205.0,3251.0,3304.0,3413.0,3643.0,3893.0,4193.0,4560.0,5434.0,,,,,,,,
Butão,1.0,1.0,2.0,5.0,5.0,5.0,7.0,7.0,7.0,20.0,21.0,31.0,47.0,62.0,67.0,70.0,77.0,80.0,86.0,92.0,101.0,108.0,128.0,153.0,184.0,227.0,238.0,246.0,263.0,282.0,304.0,316.0,336.0,346.0,358.0,369.0,378.0,389.0,418.0,434.0,440.0,519.0,670.0,767.0,834.0,850.0,857.0,859.0,861.0,866.0,866.0,,,,,,
Bolívia,11.0,29.0,107.0,194.0,354.0,598.0,1053.0,1802.0,2964.0,4481.0,7136.0,10991.0,14644.0,19883.0,26389.0,33219.0,41545.0,50867.0,62357.0,72327.0,83361.0,93328.0,103019.0,110999.0,117267.0,122308.0,128286.0,131453.0,134641.0,137468.0,138922.0,140037.0,141124.0,141936.0,142664.0,143473.0,144147.0,144810.0,145846.0,147716.0,151059.0,156887.0,165268.0,176761.0,191090.0,205208.0,220426.0,230731.0,237706.0,242292.0,,,,,,,
Bósnia e Herzegovina,7.0,38.0,176.0,459.0,804.0,1110.0,1368.0,1677.0,1987.0,2181.0,2338.0,2435.0,2551.0,2775.0,3141.0,3676.0,4606.0,5869.0,7411.0,9115.0,11127.0,13138.0,14961.0,16691.0,18609.0,20517.0,22258.0,24211.0,26081.0,27469.0,29075.0,31655.0,36315.0,44737.0,55598.0,66565.0,75577.0,83328.0,90378.0,97317.0,103232.0,107570.0,110985.0,113392.0,116668.0,118717.0,120864.0,122828.0,124696.0,126781.0,127537.0,,,,,,
