País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58
Domínica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
República Dominicana,0.0,0.0,0.0184,0.2581,0.6268,1.2445,2.0004,2.5166,3.0052,3.5491,3.9455,4.222,4.5907,4.941,5.319,6.038,6.6188,7.2456,8.1122,8.951,9.7254,10.7855,11.8825,13.256,14.3253,15.4223,16.9618,18.0035,18.8423,19.294,19.6167,19.9762,20.2343,20.4648,20.6952,20.8612,21.0363,21.276,21.4604,21.6171,21.7553,21.9581,22.161,22.2716,22.3453,22.4191,23.1658,24.3918,25.8206,27.0282,27.9132,28.411,,,,,,
Equador,0.0,0.0113,0.0397,0.2721,0.9749,1.7854,2.5846,3.2647,7.7708,9.7319,15.2355,17.548,18.897,20.45,21.9576,23.556,25.075,27.0305,28.5155,29.9381,31.2134,32.5114,33.5316,34.3761,35.5777,37.0514,38.1113,61.5766,62.8236,63.8948,65.7313,69.081,70.1409,71.0875,71.813,72.6348,73.6664,74.4712,75.7862,77.9684,78.6372,79.0566,79.2947,79.6858,80.3546,81.1424,82.7294,84.1748,85.042,86.544,87.927,89.0605,,,,,,
Egito,0.0,0.0,0.0,0.001,0.0059,0.0235,0.0567,0.1153,0.1915,0.2805,0.3831,0.471,0.558,0.6801,0.8257,1.1003,1.3456,1.8938,2.4752,3.0488,3.5345,4.026,4.3778,4.6651,4.8381,4.9905,5.0931,5.2201,5.354,5.4625,5.5846,5.7019,5.8104,5.8797,5.9491,6.0253,6.1045,6.1846,6.2706,6.3595,6.4455,6.5599,6.6976,6.855,7.0944,7.4569,7.8458,8.2289,8.6002,8.9598,9.295,9.6321,9.9683,10.3005,10.3484,,,
El Salvador,0.0,0.0154,0.0771,0.0925,0.1079,0.1388,0.2313,0.3083,0.4779,0.6013,0.7863,0.9867,1.218,1.8347,2.806,3.6231,4.4094,5.5965,6.6295,7.6778,8.8958,9.7592,10.5917,11.2701,11.8713,12.2722,12.6268,12.9968,13.4593,13.9373,14.3844,14.8315,15.294,15.7874,16.2807,16.7432,17.4062,18.1,18.7937,19.6417,20.4588,21.3068,22.3089,23.4498,24.4981,25.3769,26.3482,27.2424,28.1058,28.3833,,,,,,,,
Guiné Equatorial,0.0,0.0,0.0,0.0,0.0,0.0713,0.0713,0.2851,0.4989,0.784,0.8553,0.8553,0.8553,2.2809,2.2809,3.6351,3.6351,3.6351,3.6351,5.916,5.916,5.916,5.916,5.916,5.916,5.916,5.916,5.916,5.916,5.916,5.916,5.916,5.916,6.0585,6.0585,6.0585,6.0585,6.0585,6.0585,6.0585,6.0585,6.1298,6.1298,6.1298,6.1298,6.1298,6.1298,6.2011,6.3436,6.4862,,,,,,,,
Eritreia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0282,0.0846,0.1692,0.1692,0.1692,0.1974,0.1974,0.1974,0.1974,0.1974,,,,,,,,,
Estónia,0.0,0.0,0.0,0.0754,0.3769,1.8092,2.6385,3.3169,3.7692,4.1461,4.5984,4.8246,4.9754,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,5.2015,4.7492,4.7492,4.8246,4.8246,4.8246,4.8246,4.8246,4.8246,5.0508,5.1261,5.3523,5.5031,5.5031,5.7292,6.4077,7.3123,9.1969,10.4784,12.0615,14.4738,17.0369,19.6753,22.6907,26.3091,30.003,32.6414,35.9583,38.446,41.9891,43.346,,,,,
Essuatíni,0.0,0.0,0.0,0.0,0.0862,0.0862,0.0862,0.1724,0.1724,0.1724,0.1724,0.2586,0.2586,0.3448,0.6896,1.1205,1.5515,1.8101,2.4135,3.534,4.8269,5.8612,6.9818,7.8437,8.1023,8.4471,8.8781,9.309,9.5676,9.74,9.9124,9.9986,10.0848,10.0848,10.171,10.2572,10.3434,10.5158,10.8605,11.7225,13.274,18.6181,24.0483,29.5648,39.4772,47.4933,51.7168,54.3027,55.5094,56.0266,,,,,,,,
Etiópia,0.0,0.0,0.0,0.0017,0.0026,0.0026,0.0026,0.0035,0.0043,0.0043,0.0061,0.0157,0.0348,0.0565,0.0705,0.0896,0.1044,0.1287,0.1714,0.2288,0.3175,0.4167,0.5393,0.648,0.7446,0.8472,0.922,0.9986,1.0482,1.0977,1.1525,1.2143,1.2674,1.3117,1.3517,1.3978,1.4544,1.4996,1.5474,1.5927,1.637,1.6727,1.7101,1.7466,1.7893,1.8136,1.8493,1.8884,1.9563,2.0189,2.0354,,,,,,,
Fiji,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1116,0.1116,0.1116,0.1116,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,0.2231,,,,,,,,
Finlândia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018,0.3068,0.6136,1.1551,2.5448,3.5916,4.4399,4.9633,5.4325,5.631,5.7754,5.8476,5.8837,5.9018,5.9198,5.9379,5.9379,5.9198,5.9379,5.974,6.01,6.0281,6.0461,6.0642,6.0642,6.1183,6.1544,6.2266,6.2447,6.2447,6.3349,6.4071,6.4793,6.5515,6.6959,6.9305,7.2012,7.6524,8.4105,9.2226,9.9265,10.3958,10.865,11.2079,11.8216,12.345,12.6879,12.9947,13.2474,13.3918,
França,0.0,0.0,0.0,0.0015,0.0031,0.0107,0.0735,0.3738,2.5998,8.253,18.712,27.4277,33.4424,37.303,39.8186,42.0232,43.2672,43.9167,44.5341,44.9631,45.3568,45.5836,45.7735,45.9344,46.178,46.2454,46.3542,46.443,46.5625,46.7035,46.8613,47.0589,47.2228,47.6579,48.2952,49.0781,49.8502,50.7802,52.447,55.2414,59.8834,65.9134,72.308,78.1956,83.0827,87.3923,91.5119,95.5809,99.2118,102.6067,106.4015,110.518,114.8153,119.1004,124.0181,127.9876,131.3458,131.3519
Gabão,0.0449,0.0449,0.0449,0.0449,0.0449,0.1348,0.1348,0.3594,0.4493,0.5391,0.6739,0.9435,1.0334,1.5276,1.7972,1.9769,2.0667,2.0667,2.2015,2.2015,2.2914,2.2914,2.3812,2.3812,2.3812,2.3812,2.3812,2.4262,2.4262,2.4262,2.4262,2.4262,2.4711,2.4711,2.6059,2.6508,2.6508,2.6957,2.8305,2.8755,2.8755,2.8755,2.9653,2.9653,3.0102,3.0552,3.19,3.2798,3.3697,3.7291,,,,,,,,
Gâmbia,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0414,0.0828,0.0828,0.1241,0.1241,0.1655,0.331,0.3724,0.9517,2.6069,3.6,3.9724,4.0965,4.2621,4.469,4.5931,4.7586,4.8828,4.8828,4.9241,4.9241,5.0483,5.0483,5.0897,5.0897,5.0897,5.0897,5.0897,5.0897,5.131,5.1724,5.2965,5.2965,5.4207,5.5862,5.7103,5.9586,6.1241,,,,,,,,
Geórgia,0.0,0.0,0.0,0.0,0.0,0.0752,0.0752,0.1003,0.1504,0.2256,0.2757,0.3008,0.3008,0.3259,0.3259,0.351,0.351,0.376,0.376,0.376,0.4011,0.4011,0.4262,0.4262,0.4262,0.4763,0.4763,0.4763,0.4763,0.5766,0.9024,1.4539,2.5569,3.9607,5.9662,9.0746,13.0604,19.5028,26.3464,32.6635,39.507,47.2028,54.6981,61.2409,66.3296,70.6915,74.5268,77.6102,80.4178,82.8744,84.6543,86.6597,87.3616,,,,,
Alemanha,0.0,0.0,0.0,0.0,0.0,0.0,0.0131,0.1122,0.6362,1.8906,3.6069,5.4736,7.1326,8.1949,9.034,9.503,9.8861,10.1929,10.3659,10.5044,10.6166,10.7037,10.7694,10.8267,10.8517,10.8899,10.9257,10.983,11.0224,11.0701,11.1,11.1358,11.1644,11.2074,11.2957,11.3781,11.4891,11.6944,12.0095,12.5478,13.573,15.0065,16.8994,19.462,22.6642,26.3845,31.5096,36.1609,41.5247,48.859,55.9785,62.4177,68.2267,73.6513,77.7082,81.0967,83.4754,
Gana,0.0,0.0129,0.0161,0.0193,0.0257,0.0322,0.0547,0.0579,0.0901,0.0998,0.1094,0.1352,0.1545,0.2253,0.3315,0.3765,0.4345,0.4634,0.5181,0.5857,0.663,0.7177,0.84,0.8689,0.9108,0.9172,0.9494,0.9623,0.9687,0.9848,0.9977,1.0105,1.0298,1.0298,1.0298,1.0395,1.0395,1.0459,1.0491,1.0652,1.0717,1.0781,1.0813,1.0974,1.1618,1.2551,1.445,1.6252,1.828,1.9116,,,,,,,,
Grécia,0.0,0.0,0.048,0.1919,0.4701,0.7771,0.969,1.1609,1.324,1.4007,1.4583,1.583,1.6598,1.7173,1.7557,1.7749,1.8229,1.8421,1.8517,1.8517,1.89,1.9476,2.0052,2.0531,2.2258,2.3314,2.6,2.7823,3.003,3.3771,3.7225,4.0295,4.4325,5.0657,5.6893,6.2841,8.3085,11.7816,17.4133,24.1484,30.6436,36.3137,41.6385,45.3802,48.4599,51.127,52.9403,54.6097,56.1352,57.7278,59.3012,60.8555,61.7765,,,,,
Granada,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,0.8887,,,,,,,,,
Guatemala,0.0056,0.0056,0.0056,0.0167,0.0391,0.0614,0.0893,0.134,0.1675,0.2847,0.5024,1.2057,1.9592,2.696,3.7509,4.9119,6.3576,8.0544,9.3159,10.7393,12.1012,13.0668,14.133,15.1209,15.7684,16.3489,17.1694,17.7834,18.2355,18.7323,19.4133,20.0608,20.7306,21.1771,21.6571,22.7009,23.114,23.5773,24.4257,25.6146,26.5523,26.904,27.7524,28.8967,30.253,31.1573,32.4634,33.8086,34.7184,35.4329,,,,,,,,
Guiné,0.0,0.0,0.0,0.0,0.0076,0.0457,0.0533,0.0838,0.1142,0.1371,0.1675,0.1751,0.1751,0.198,0.2208,0.2513,0.2741,0.297,0.3198,0.3503,0.3731,0.3807,0.4036,0.4416,0.4645,0.4797,0.4797,0.4949,0.5026,0.5178,0.533,0.5406,0.5406,0.5559,0.5635,0.5711,0.5787,0.5787,0.6015,0.6092,0.6092,0.6168,0.6168,0.6168,0.6168,0.6244,0.6396,0.6396,0.6472,0.6701,0.6777,,,,,,,
Guiné-Bissau,0.0,0.0,0.0,0.0,0.0508,0.0508,0.1524,0.3049,0.3557,0.4065,0.6098,0.7622,0.9654,1.2195,1.2703,1.3211,1.3211,1.3211,1.372,1.4736,1.6768,1.6768,1.7276,1.9309,1.9817,1.9817,1.9817,2.0325,2.0833,2.0833,2.0833,2.0833,2.185,2.185,2.185,2.2358,2.2358,2.2358,2.2866,2.2866,2.2866,2.2866,2.2866,2.2866,2.2866,2.3374,2.3374,2.3882,2.439,,,,,,,,,
Guiana,0.1271,0.1271,0.2543,0.7628,0.7628,0.89,1.0171,1.2714,1.2714,1.2714,1.3985,1.5256,1.5256,1.5256,1.5256,1.6528,2.0342,2.2885,2.4156,2.5427,2.797,2.797,3.4327,3.9413,5.2126,6.1026,7.374,8.7725,10.171,12.078,13.4765,14.7479,15.6379,16.5278,17.4178,18.0535,18.6892,19.1977,19.5791,20.0877,20.5962,20.8505,21.1048,21.6133,21.6133,22.1219,22.5033,23.139,24.0289,24.4103,24.7917,,,,,,,
Haiti,0.0,0.0,0.0088,0.0263,0.0351,0.0526,0.1052,0.1579,0.1929,0.2894,0.421,0.4911,0.7016,0.7805,0.9208,1.0261,1.2541,1.3506,1.3857,1.4997,1.64,1.7189,1.7277,1.8066,1.8768,1.9294,1.9732,2.0083,2.0083,2.0259,2.0259,2.0346,2.0346,2.0346,2.0346,2.0346,2.0434,2.0434,2.0522,2.0609,2.0697,2.0697,2.0873,2.1048,2.1311,2.1486,2.1574,2.1662,2.1662,2.1662,,,,,,,,
Santa Sé,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
Honduras,0.0,0.0,0.0707,0.2221,0.2625,0.4644,0.6462,0.939,1.2217,1.4842,1.8981,2.2717,2.7361,3.3318,4.089,5.0179,6.8352,8.1477,9.9752,12.2569,14.1348,15.2959,16.0834,17.194,19.0618,20.5359,21.071,22.2725,23.4537,24.7057,25.5235,26.0687,26.6442,27.3206,28.0677,28.6634,28.9663,29.461,29.7841,30.299,30.7534,31.4096,32.1668,33.2573,34.2366,35.1957,36.4881,38.2549,39.5069,40.7891,41.5665,,,,,,,
Hungria,0.0,0.0104,0.0932,0.1656,0.4865,1.2629,2.2049,3.0123,3.7576,4.3994,4.8342,5.1654,5.507,5.6934,5.8486,5.9315,6.0557,6.0971,6.1592,6.1695,6.1695,6.1903,6.2627,6.3041,6.3559,6.3766,6.4801,6.6871,7.184,7.8362,8.8299,10.3102,12.5358,15.8897,20.4237,26.8727,33.9636,41.4892,51.5199,63.3517,74.9145,87.5952,96.187,104.344,112.3458,119.2503,125.3888,131.0097,137.1482,143.235,149.5805,153.1518,,,,,,
Islândia,0.0,0.0,1.4652,0.5861,1.1722,1.7583,2.3444,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,2.9305,3.2235,3.5166,5.2748,7.3262,7.3262,7.6192,7.9123,8.2053,8.2053,8.2053,8.4983,8.4983,8.4983,8.4983,8.4983,8.4983,8.4983,8.4983,8.4983,8.4983,,,,,
Índia,0.0,0.0,0.0,0.0,0.0,0.0001,0.0002,0.0009,0.0042,0.0129,0.0293,0.0493,0.0782,0.1293,0.1849,0.2488,0.3285,0.4412,0.5871,0.8867,1.0793,1.2923,1.5311,1.8054,2.1638,2.533,2.9492,3.4082,3.9033,4.382,4.8823,5.4393,6.0288,6.605,7.1506,7.6468,8.0627,8.4504,8.7338,9.0083,9.2841,9.5346,9.7987,10.0469,10.2733,10.4674,10.6345,10.7781,10.8939,10.9947,11.0774,11.1483,11.2103,11.2579,11.3053,11.3554,11.3723,
Indonésia,0.0,0.0018,0.0175,0.0417,0.0724,0.1364,0.2128,0.2716,0.3089,0.3557,0.4197,0.5016,0.5897,0.6767,0.7802,0.9012,1.0069,1.1593,1.3184,1.5147,1.7479,1.9143,2.0923,2.2484,2.4422,2.6846,2.9339,3.1891,3.4926,3.7971,4.0768,4.3302,4.574,4.8621,5.0975,5.3429,5.5611,5.8072,6.1475,6.4857,6.8802,7.2681,7.7642,8.3115,8.8215,9.5008,10.1765,10.9672,11.5368,12.1317,12.6091,13.0833,,,,,,
Irã,0.019,0.0917,0.3465,1.1763,2.3026,3.4503,4.6099,5.5755,6.3065,6.997,7.5483,8.0161,8.4757,8.9388,9.4556,10.0306,10.7926,11.7427,12.8785,14.2048,15.7287,17.4229,19.2242,20.9744,22.3828,23.7782,24.8842,25.8022,26.838,27.9226,29.3548,30.9383,32.6444,34.61,36.9483,39.645,43.0512,46.673,50.5531,54.4546,57.8953,60.6206,62.7076,64.2947,65.4174,66.3722,67.1009,67.8307,68.5296,69.1844,69.7975,70.3833,71.0333,71.3143,,,,
Iraque,0.0,0.0149,0.0249,0.0497,0.1044,0.1517,0.1889,0.2039,0.2163,0.2412,0.271,0.3058,0.3978,0.5097,0.8602,1.5091,2.7348,4.3657,6.1483,7.8314,9.4002,10.8447,12.1027,13.4054,14.569,15.9811,17.3013,18.6761,19.9242,21.2692,22.3507,23.3675,24.4938,25.4932,26.4106,27.2634,28.1609,29.0136,29.7296,30.391,30.9081,31.2735,31.5669,31.7733,31.9075,32.0592,32.181,32.3028,32.4371,32.6186,32.7652,32.9965,33.2277,,,,,
Irlanda,0.0,0.0203,0.0608,0.4455,2.4302,5.8123,10.7336,20.5355,25.6188,28.9401,30.7425,32.2412,33.3145,33.8208,34.5296,34.7119,35.0359,35.2385,35.3195,35.4815,35.7043,35.7245,35.8865,35.927,35.9675,35.9878,35.9878,36.0688,36.2916,36.3928,36.5751,36.8789,37.2839,38.0332,38.6408,39.2889,39.9369,40.8685,41.3748,42.2457,42.9342,43.5215,44.4329,45.5265,47.1264,51.3591,58.1232,65.0899,73.3325,78.2739,83.2154,87.0836,,,,,,
Israel,0.0,0.0,0.0,0.0,0.1155,0.439,1.0282,1.6868,2.2644,2.5995,2.7959,3.0963,3.2465,3.3158,3.3851,3.4891,3.5353,3.6739,3.8241,4.2054,4.6906,5.534,6.3543,7.3248,8.353,9.312,10.3864,11.5302,12.7433,14.2683,16.3595,19.0629,21.8704,24.8165,27.1734,29.1721,30.6394,31.4019,32.0951,32.8114,33.4468,34.2093,35.2376,36.6355,38.4147,41.0373,44.7113,49.0438,53.9424,57.7781,61.0361,63.6471,65.7036,65.8192,,,,
Itália,0.0,0.0,0.0,0.0281,0.2448,1.6804,5.6317,13.5871,23.0145,30.2323,36.6678,42.2564,46.2556,49.5486,51.8807,53.7298,54.8148,55.7195,56.51,57.084,57.3552,57.5867,57.7654,57.9159,58.0399,58.1061,58.1971,58.2698,58.5791,58.6535,58.7263,58.8586,58.9761,59.1795,59.4061,59.679,60.157,61.1427,63.0514,66.475,72.0934,79.1739,87.4105,95.9911,103.5794,111.1776,117.2641,122.6543,127.8344,133.7174,139.2647,144.5226,149.2529,153.3678,156.937,160.3888,160.8073,
Jamaica,0.0,0.0338,0.0338,0.1013,0.1351,0.2026,0.2364,0.3039,0.3039,0.3039,0.3039,0.3039,0.3377,0.3377,0.3377,0.3377,0.3377,0.3377,0.3377,0.3377,0.4052,0.4728,0.4728,0.6416,0.7092,1.2157,1.5534,2.5328,3.4108,4.1538,4.9305,5.8761,6.619,7.2269,7.5646,7.801,8.2062,8.7128,8.9492,9.3206,9.7259,10.0636,10.3,10.6377,11.1105,11.4482,11.921,12.1236,12.7652,13.677,13.9472,,,,,,,
Japão,0.0,0.0,0.0,0.0016,0.0024,0.0047,0.0103,0.0237,0.0332,0.053,0.0775,0.1344,0.2396,0.3447,0.4689,0.559,0.6365,0.6823,0.7132,0.7274,0.7385,0.763,0.7685,0.7756,0.778,0.7812,0.7915,0.8088,0.8365,0.8974,0.9638,1.0381,1.1053,1.1567,1.201,1.2398,1.2722,1.2927,1.3275,1.3647,1.4184,1.4548,1.4983,1.5521,1.6675,1.8454,2.0407,2.2747,2.527,2.9689,3.3034,3.705,4.1881,4.706,5.2199,5.6445,6.0051,6.1814
Jordânia,0.0,0.0,0.0,0.049,0.0588,0.0686,0.0686,0.0686,0.0882,0.0882,0.0882,0.0882,0.0882,0.0882,0.0882,0.0882,0.0882,0.098,0.098,0.1078,0.1078,0.1078,0.1078,0.1078,0.1372,0.147,0.1666,0.2548,0.3136,0.4998,1.0781,2.0288,3.7243,6.1158,8.9482,12.6922,18.0631,22.5617,26.9623,30.5396,33.3917,35.3225,37.0278,38.4098,39.6251,40.7032,41.5461,42.3987,42.977,43.8395,44.7902,45.5742,,,,,,
Cazaquistão,0.0,0.0053,0.016,0.0426,0.0905,0.1065,0.1331,0.1598,0.1704,0.1864,0.1971,0.2769,0.3568,0.5326,0.7456,1.0012,1.406,1.9972,3.1156,4.2233,5.9063,7.6318,8.7981,9.4852,10.0603,10.3905,10.6834,10.8912,11.0776,11.2267,11.4024,11.6421,11.8338,12.0522,12.3078,12.6114,12.9096,12.9842,13.5807,13.9268,14.257,14.7044,14.8109,15.3488,15.7216,16.1903,16.611,16.6802,16.7495,16.8294,16.8294,,,,,,,
Quénia,0.0,0.0019,0.0056,0.013,0.0205,0.026,0.0316,0.0539,0.0781,0.093,0.1079,0.1451,0.1711,0.2176,0.2455,0.2827,0.3217,0.4036,0.4891,0.6044,0.742,0.8555,0.9596,1.0545,1.0879,1.1382,1.1939,1.2442,1.3223,1.3967,1.4971,1.618,1.7928,1.9936,2.2373,2.4734,2.6538,2.7896,2.9161,3.009,3.0723,3.1057,3.1653,3.2043,3.2341,3.2601,3.2973,3.3364,3.3605,3.4349,3.4461,,,,,,,
Coreia do Sul,0.0,0.0,0.0,0.0,0.0195,0.0546,0.1053,0.158,0.2341,0.316,0.3745,0.433,0.4623,0.4798,0.4974,0.5052,0.513,0.5247,0.5325,0.5383,0.5442,0.5481,0.55,0.5559,0.5637,0.5793,0.5851,0.589,0.5949,0.5968,0.6086,0.6359,0.671,0.7158,0.7568,0.8056,0.829,0.8543,0.8777,0.8992,0.9245,0.9499,0.9674,1.0006,1.026,1.0845,1.1937,1.4414,1.7145,2.0032,2.3113,2.5356,2.6878,2.8107,2.8984,2.9999,3.074,3.111
Kosovo,0.0,0.0553,0.0553,0.3868,0.6078,1.0499,1.2156,1.4919,1.6024,1.6024,1.6577,1.6577,1.713,1.8787,2.3208,3.0391,5.1941,6.8518,9.0621,12.5432,16.7427,21.0527,24.7549,27.573,30.4464,32.3803,33.7618,34.0933,34.6459,35.4195,36.0273,36.4141,37.4639,40.4478,44.0947,48.9021,53.8751,56.6932,64.8712,68.5181,71.723,73.8228,75.591,77.3039,79.9562,82.1665,83.9347,85.0951,86.0897,87.9684,,,,,,,,
Kuwait,0.0,0.0,0.0,0.0,0.0,0.0234,0.0234,0.1639,0.4683,0.8898,1.3581,2.6226,3.6529,4.9642,6.1818,6.9312,7.6336,8.1488,8.6171,9.1323,9.5538,10.1392,10.7011,11.1929,11.7315,12.0593,12.4105,12.7383,13.113,13.675,14.0731,14.6116,15.4078,16.4147,17.4684,18.3114,18.9904,19.6227,20.2783,20.5593,20.8637,21.332,21.5662,21.8004,21.9409,22.0814,22.175,22.2921,22.456,22.6199,23.4863,24.4464,25.102,,,,,
Quirguistão,0.0,0.0,0.0613,0.0766,0.1073,0.1226,0.1686,0.1839,0.2146,0.2452,0.2606,0.3679,0.4598,0.6438,0.935,1.64,2.2838,16.5384,20.3703,21.8724,22.6541,22.9607,22.9607,16.2319,16.2472,16.2932,16.2932,16.3085,16.3392,16.7377,17.0596,17.4121,17.826,18.2091,18.5004,19.0215,19.5426,19.9412,20.1864,20.4623,20.7382,20.8455,21.0754,21.336,21.5352,21.6732,21.9644,22.133,22.3782,22.4242,,,,,,,,
Laos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
Letónia,0.0,0.0,0.0,0.0,0.053,0.2651,0.2651,0.6362,0.8483,0.9543,1.0073,1.1664,1.2724,1.3254,1.4845,1.5905,1.5905,1.5905,1.5905,1.6435,1.6435,1.6965,1.6965,1.6965,1.7496,1.8026,1.8556,1.8556,1.9086,1.9086,2.0146,2.1207,2.3327,2.9689,3.9232,5.2487,6.5211,8.1116,10.4443,13.8904,18.5028,23.2743,29.6363,36.0514,45.0112,51.8503,58.9016,63.355,70.9894,76.9272,81.7518,84.8797,,,,,,
Líbano,0.0,0.0,0.044,0.0586,0.0879,0.2344,0.2784,0.3077,0.3223,0.3516,0.3663,0.3809,0.3809,0.3809,0.4102,0.4542,0.4688,0.4835,0.5128,0.5274,0.586,0.63,0.8351,1.0256,1.3479,1.6556,2.1391,2.6225,3.2086,3.8532,4.8202,5.4795,6.4318,7.3402,8.0874,8.9371,10.0067,11.3546,12.7171,14.2701,15.6327,17.1417,18.2845,19.8229,21.5078,22.9436,26.0935,31.5144,38.4004,49.7696,56.641,61.6224,66.8088,67.5414,,,,
Lesoto,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.2801,0.5602,0.9803,1.1203,1.4004,1.4004,1.4471,1.4471,1.5404,1.5404,1.6338,1.8205,1.9606,2.0072,2.0072,2.0539,2.0539,2.0539,2.0539,2.0539,2.0539,2.0539,2.2406,2.3807,3.0342,3.9678,4.7147,6.8153,8.0289,9.6627,11.8567,13.5839,13.6305,,,,,,,,,,,,,,,,
Libéria,0.0,0.0,0.0593,0.0989,0.1582,0.2373,0.3559,0.3954,0.4152,0.5141,0.5338,0.5932,0.6327,0.6722,0.6722,0.7316,1.0084,1.384,1.4236,1.5224,1.562,1.6213,1.6213,1.6213,1.6213,1.6213,1.6213,1.6213,1.6213,1.6213,1.6213,1.6213,1.6213,1.6213,1.6213,1.6213,1.6411,1.6411,1.6411,1.6411,1.6411,1.6411,1.6411,1.6608,1.6608,1.6608,1.6608,1.6608,1.6806,1.6806,,,,,,,,
Líbia,0.0,0.0146,0.0146,0.0146,0.0291,0.0437,0.0437,0.0437,0.0437,0.0728,0.0728,0.1455,0.1455,0.3347,0.4948,0.5821,0.7131,0.9314,1.3535,1.8192,2.2849,2.8961,3.4491,4.3078,5.3556,6.549,7.6696,8.6738,9.3723,10.653,11.6572,12.8069,13.7383,14.9171,16.0377,17.2166,18.0898,19.123,19.9235,20.9568,22.2083,23.1252,24.7115,25.934,27.4039,28.7282,29.7178,30.7948,31.6389,,,,,,,,,
Liechtenstein,0.0,0.0,0.0,0.0,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,2.6227,7.8682,10.491,20.982,34.0957,41.9639,49.8321,55.0776,73.4368,99.6643,118.0235,128.5145,131.1372,136.3827,136.3827,136.3827,139.0055,141.6282,141.6282,,,,,,
Lituânia,0.0,0.0,0.0,0.1469,0.2204,0.4408,0.7714,1.0285,1.1755,1.2857,1.5061,1.6898,1.9102,2.0204,2.1673,2.204,2.2408,2.2775,2.2775,2.2775,2.3142,2.3142,2.351,2.351,2.4244,2.5346,2.5346,2.5714,2.6081,2.7183,2.8652,3.1958,3.5632,4.2244,5.2897,6.7958,9.6977,14.3996,20.1669,26.8891,34.4563,44.7785,55.468,67.48,78.3532,87.6101,95.3977,101.6057,106.8219,111.5973,115.5278,118.4665,,,,,,
