País Português,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154
Bolívia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0086,0.0343,0.0514,0.06,0.0685,0.0771,0.0857,0.0857,0.0942,0.1199,0.1285,0.1542,0.1628,0.1713,0.2056,0.2313,0.2399,0.2399,0.2484,0.2656,0.2656,0.2741,0.2827,0.2913,0.317,0.3684,0.3769,0.3941,0.4283,0.454,0.4712,0.5054,0.5311,0.5654,0.6082,0.6511,0.7025,0.7367,0.7796,0.8738,0.9081,0.9766,1.0109,1.0451,1.0965,1.2165,1.3021,1.4049,1.4135,1.4478,1.4906,1.6191,1.7048,1.8419,1.9704,2.056,2.1417,2.2359,2.3473,2.3987,2.5101,2.57,2.6557,2.6814,2.9384,3.2211,3.4267,3.5552,3.658,3.8893,3.9835,4.0692,4.172,4.3862,4.5661,4.7888,5.0116,5.2343,5.4142,5.6455,5.8168,5.971,6.1252,6.3394,6.6221,7.0247,7.2475,7.5045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bósnia e Herzegovina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0305,0.0305,0.0305,0.0914,0.0914,0.0914,0.1219,0.1524,0.1829,0.3048,0.3962,0.3962,0.4877,0.5182,0.6401,0.701,0.8839,1.0058,1.0363,1.0668,1.0973,1.1278,1.1887,1.1887,1.2192,1.2497,1.3106,1.4021,1.4326,1.463,1.4935,1.5545,1.6155,1.6459,1.6764,1.7374,1.7983,1.8288,1.9203,1.9812,2.1031,2.1336,2.1946,2.347,2.3775,2.4079,2.6213,2.7432,2.9871,3.109,3.2614,3.4443,3.5662,3.6576,3.7186,3.9015,3.9319,4.0539,4.0539,4.0843,4.1453,4.2672,4.2977,4.2977,4.3891,4.4501,4.5415,4.6025,4.6635,4.6635,4.6635,4.6635,4.6939,4.7854,4.7854,4.8464,4.8464,4.8464,4.8464,4.8768,4.8768,4.9073,4.9073,4.9683,4.9683,4.9683,5.0292,5.1207,5.1207,5.1207,5.1512,5.1512,5.1512,5.2121,5.2426,5.2731,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Botswana,0.0,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,0.0425,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brasil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005,0.0014,0.0028,0.0052,0.0071,0.0118,0.016,0.0216,0.0278,0.0362,0.0433,0.0522,0.064,0.0748,0.0946,0.1129,0.1524,0.1689,0.2094,0.2286,0.2653,0.3227,0.3853,0.4469,0.4973,0.5288,0.5754,0.6248,0.7207,0.8167,0.9052,1.0072,1.1075,1.1583,1.2171,1.2895,1.3671,1.5671,1.7426,1.9086,2.0164,2.1655,2.3913,2.5936,2.8256,3.0166,3.1808,3.3172,3.4659,3.7345,4.0403,4.3235,4.7126,5.0132,5.2329,5.4822,5.8624,6.2288,6.5859,7.039,7.3683,7.5828,7.9286,8.4602,8.8723,9.4312,9.9022,10.3562,10.6634,11.043,11.5318,12.0428,12.5866,13.1154,13.5651,13.791,14.0841,14.6778,15.3124,16.0054,16.4782,16.9035,17.1505,17.4699,18.0684,18.6677,19.2506,19.6783,20.0979,20.3858,20.6808,21.2839,21.8809,22.4634,23.0307,23.5115,23.8009,24.1208,24.7672,25.3247,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.2286,0.4572,0.4572,0.4572,0.4572,0.4572,0.4572,0.4572,0.4572,0.4572,0.4572,0.4572,0.4572,0.4572,0.4572,0.4572,0.4572,0.4572,0.4572,0.4572,0.4572,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,0.6857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgária,0.0,0.0,0.0,0.0144,0.0144,0.0144,0.0288,0.0288,0.0288,0.0288,0.0288,0.0432,0.0432,0.0432,0.0432,0.0432,0.0432,0.0432,0.0432,0.0432,0.1007,0.1151,0.1151,0.1151,0.1439,0.1439,0.2015,0.2447,0.2878,0.3166,0.331,0.3454,0.3454,0.3598,0.403,0.4174,0.4605,0.5037,0.5181,0.5469,0.5901,0.5901,0.6045,0.6188,0.6476,0.7052,0.7484,0.7772,0.7915,0.8059,0.8347,0.8347,0.9211,0.9499,0.9786,1.0362,1.0506,1.1226,1.1513,1.2089,1.2089,1.2377,1.2953,1.3096,1.3384,1.3672,1.3816,1.4248,1.468,1.5111,1.5543,1.5831,1.6119,1.6694,1.727,1.799,1.8134,1.8709,1.8709,1.8709,1.9141,1.9285,1.9573,2.0004,2.0148,2.0148,2.0724,2.1012,2.1156,2.2883,2.3027,2.3027,2.3602,2.4034,2.4034,2.4178,2.4754,2.4754,2.5042,2.5329,2.6049,2.6481,2.7344,2.7776,2.864,2.864,2.9791,2.9935,3.0079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burkina Faso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048,0.0048,0.0048,0.0096,0.0191,0.0191,0.0191,0.0191,0.0335,0.0431,0.0526,0.0574,0.0574,0.067,0.0765,0.0765,0.0765,0.0765,0.0813,0.0861,0.0909,0.11,0.1148,0.1148,0.1292,0.1292,0.1292,0.1435,0.1531,0.1531,0.1674,0.1722,0.1722,0.1818,0.1818,0.1866,0.1961,0.1961,0.1961,0.2009,0.2009,0.2009,0.2057,0.2057,0.2105,0.2105,0.2153,0.2201,0.2296,0.2296,0.2296,0.2296,0.2296,0.2344,0.2392,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.244,0.2488,0.2488,0.2488,0.2488,0.2488,0.2488,0.2488,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,0.2535,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Myanmar,0.0,0.0,0.0,0.0,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0018,0.0055,0.0055,0.0055,0.0055,0.0074,0.0074,0.0074,0.0074,0.0074,0.0074,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.0092,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burundi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,0.0084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,0.0,0.0,0.0,0.0,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.1799,0.3597,0.3597,0.3597,0.3597,0.3597,0.3597,0.3597,0.3597,0.3597,0.3597,0.3597,0.3597,0.3597,0.3597,0.5396,0.5396,0.5396,0.5396,0.5396,0.5396,0.5396,0.5396,0.5396,0.5396,0.7194,0.7194,0.7194,0.7194,0.7194,0.7194,0.7194,0.8993,0.8993,0.8993,0.8993,0.8993,0.8993,0.8993,0.8993,0.8993,1.0792,1.0792,1.0792,1.0792,1.259,1.259,1.259,1.259,1.4389,1.4389,1.4389,1.4389,1.4389,1.4389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camboja,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Camarões,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0038,0.0075,0.0075,0.0226,0.0226,0.0226,0.0226,0.0264,0.0301,0.0339,0.0339,0.0339,0.0339,0.0377,0.0377,0.0452,0.0452,0.0452,0.0452,0.0527,0.064,0.0829,0.0829,0.0829,0.1582,0.1582,0.162,0.162,0.162,0.162,0.1997,0.211,0.2185,0.2185,0.2298,0.2298,0.2298,0.2411,0.2411,0.2411,0.2411,0.4068,0.4068,0.4068,0.4068,0.4294,0.4709,0.4709,0.5123,0.5236,0.5274,0.5274,0.5274,0.5274,0.5274,0.55,0.5877,0.599,0.599,0.6216,0.6216,0.6592,0.6592,0.6592,0.6668,0.7195,0.7195,0.7496,0.7534,0.7534,0.7647,0.7722,0.7986,0.7986,0.7986,0.7986,0.7986,0.7986,0.7986,0.7986,0.7986,1.0397,1.0397,1.0397,1.0397,1.0623,1.1339,1.1414,1.1603,1.1791,1.1791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Canadá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0026,0.0106,0.0132,0.0212,0.0238,0.0318,0.0503,0.0556,0.0662,0.0689,0.0795,0.1007,0.1431,0.1616,0.1696,0.212,0.2676,0.2888,0.3683,0.4743,0.5776,0.6862,0.8982,0.9936,1.0784,1.3327,1.4758,1.7328,1.8918,2.0693,2.3873,2.6708,3.3358,3.5928,3.712,4.1466,4.5758,5.0607,5.5058,5.9377,6.3642,6.812,7.1194,7.5274,7.9036,8.3594,8.77,9.3715,9.761,10.0551,10.6062,11.1016,11.568,12.0316,12.445,12.7788,13.2239,13.5525,14.0427,14.3738,14.8163,15.0468,15.3674,15.6403,15.7914,15.9715,16.2948,16.6048,16.8512,17.132,17.3122,17.6328,17.8925,18.2184,18.4992,18.7138,18.9682,19.5378,19.6173,19.8134,20.081,20.4466,20.6083,20.799,20.8706,20.958,21.117,21.2971,21.3846,21.5277,21.6813,21.7741,21.8006,21.9145,22.0231,22.1529,22.2775,22.4312,22.4735,22.5053,22.553,22.6378,,,,
República Centro-Africana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0207,0.0207,0.0207,0.0207,0.0207,0.0207,0.0207,0.0207,0.0414,0.0828,0.0828,0.0828,0.0828,0.0828,0.1035,0.1035,0.1035,0.1035,0.1035,0.1035,0.1449,0.1449,0.1449,0.1449,0.2899,0.3727,0.3934,0.3934,0.3934,0.4762,0.6211,0.7661,0.7868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chade,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0122,0.0122,0.0304,0.0304,0.0609,0.0609,0.0609,0.1035,0.1035,0.1644,0.1705,0.1887,0.1887,0.1887,0.2435,0.2557,0.28,0.2922,0.3044,0.3227,0.3227,0.3409,0.347,0.3531,0.3531,0.3653,0.3653,0.3714,0.3775,0.3896,0.3957,0.3957,0.3957,0.3957,0.4018,0.4018,0.4018,0.4018,0.414,0.4201,0.4201,0.4262,0.4322,0.4383,0.4383,0.4383,0.4383,0.4444,0.4444,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,0.4505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0052,0.0105,0.0105,0.0157,0.0209,0.0262,0.0314,0.0366,0.0418,0.0628,0.0837,0.0942,0.1151,0.1412,0.1779,0.1936,0.2249,0.2511,0.2982,0.34,0.3819,0.4185,0.429,0.4813,0.4917,0.5493,0.6068,0.6591,0.6957,0.7271,0.769,0.837,0.8788,0.9102,0.9468,0.9887,1.0358,1.0829,1.1299,1.1875,1.2241,1.2921,1.3601,1.4124,1.4386,1.47,1.4909,1.538,1.5903,1.6321,1.6897,1.7524,1.81,1.9251,2.0611,2.2023,2.354,2.5005,2.6627,2.8458,3.0812,3.2956,3.5206,3.756,3.9809,4.2163,4.3994,4.6557,4.9382,5.2155,5.5136,5.8223,6.2146,6.6697,7.0935,7.5747,8.0612,8.5634,11.8434,11.9427,12.9471,13.8521,15.0134,16.2218,17.3832,17.5872,17.697,18.9107,20.0929,21.4112,22.4679,23.4304,23.5507,23.5664,24.7486,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
China,0.0012,0.0013,0.0018,0.0029,0.0039,0.0057,0.0091,0.0092,0.0119,0.0148,0.018,0.0251,0.0295,0.0341,0.0391,0.044,0.0499,0.0559,0.0629,0.0703,0.0773,0.0776,0.0951,0.1057,0.1155,0.1227,0.1295,0.1392,0.147,0.1555,0.1555,0.1697,0.1699,0.1803,0.1852,0.1888,0.1908,0.1938,0.1971,0.1995,0.2025,0.2047,0.2073,0.2095,0.2115,0.2134,0.2154,0.217,0.2181,0.2196,0.2204,0.2209,0.2218,0.2225,0.2235,0.2244,0.2252,0.2257,0.226,0.2264,0.2275,0.2275,0.228,0.2282,0.2286,0.229,0.2292,0.2296,0.2298,0.2299,0.2304,0.2308,0.2311,0.2314,0.2316,0.2317,0.2317,0.2318,0.232,0.2321,0.2323,0.2323,0.2324,0.2324,0.2325,0.2325,0.3221,0.3221,0.3221,0.3221,0.3221,0.3221,0.3221,0.3221,0.3221,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3222,0.3223,0.3223,0.3223,0.3224,0.3224
Colômbia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039,0.0059,0.0059,0.0079,0.0118,0.0118,0.0118,0.0197,0.0236,0.0314,0.0334,0.0373,0.0491,0.0629,0.0688,0.0904,0.0983,0.1061,0.1356,0.1572,0.1965,0.2142,0.2201,0.2496,0.2575,0.283,0.3007,0.3007,0.3518,0.3714,0.3852,0.4049,0.4225,0.4422,0.4579,0.4795,0.4972,0.5287,0.5464,0.5758,0.6171,0.6368,0.6682,0.7036,0.7429,0.7802,0.7999,0.8411,0.8746,0.9099,0.9414,0.9689,1.0003,1.0318,1.0731,1.1045,1.1281,1.1635,1.2047,1.2381,1.2814,1.3403,1.3855,1.4288,1.474,1.5251,1.5781,1.6371,1.6803,1.7511,1.8002,1.8926,1.9928,2.0773,2.1599,2.3662,2.3662,2.4861,2.6984,2.6984,2.8281,2.9578,3.0698,3.1897,3.282,3.5533,3.5533,3.7085,3.8422,4.021,4.2215,4.6243,4.7678,4.9604,4.9604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Comores,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.115,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.345,0.345,0.575,0.575,0.575,0.575,0.575,0.805,0.805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
República do Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0362,0.0362,0.0362,0.0906,0.0906,0.0906,0.0906,0.0906,0.0906,0.0906,0.0906,0.0906,0.0906,0.0906,0.0906,0.1087,0.1087,0.1087,0.1087,0.1087,0.1087,0.1087,0.1087,0.1087,0.1087,0.1087,0.145,0.145,0.1631,0.1631,0.1631,0.1631,0.1812,0.1812,0.1812,0.1812,0.1812,0.1812,0.1812,0.1993,0.1993,0.1993,0.2718,0.2718,0.2718,0.2718,0.2718,0.2718,0.2718,0.29,0.29,0.29,0.29,0.29,0.29,0.3443,0.3443,0.3443,0.3443,0.3624,0.3624,0.3624,0.3624,0.3624,0.3624,0.3987,0.3987,0.3987,0.4349,0.4349,0.4349,0.4349,0.4349,0.4349,0.4893,0.4893,0.4893,0.4893,0.4893,0.4893,0.4893,0.6705,0.6705,0.6705,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
República Democrática do Congo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011,0.0011,0.0011,0.0022,0.0022,0.0033,0.0033,0.0067,0.0067,0.0089,0.0089,0.01,0.0145,0.0145,0.0201,0.0201,0.0201,0.0201,0.0201,0.0201,0.0223,0.0223,0.0223,0.0223,0.0223,0.0234,0.0246,0.0257,0.0279,0.0279,0.0279,0.0279,0.0279,0.0279,0.0279,0.0313,0.0313,0.0313,0.0335,0.0335,0.0346,0.0357,0.0368,0.0368,0.038,0.038,0.0391,0.0402,0.0435,0.0435,0.0458,0.0458,0.0491,0.0558,0.0558,0.0558,0.0681,0.0681,0.0681,0.0681,0.0681,0.0681,0.0703,0.0703,0.0703,0.0748,0.0759,0.0759,0.077,0.077,0.077,0.0804,0.0804,0.0804,0.0837,0.0871,0.0904,0.0916,0.0949,0.0983,0.1005,0.1072,0.1094,0.1128,0.1184,0.1195,0.1251,0.1251,0.1284,0.1306,0.1362,0.1396,0.1452,0.1507,0.1507,0.1586,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196,0.0196,0.0393,0.0393,0.0393,0.0393,0.0393,0.0393,0.0393,0.0393,0.0393,0.0393,0.0393,0.0393,0.0393,0.0393,0.0393,0.0393,0.0393,0.0393,0.0589,0.0589,0.0589,0.0589,0.0589,0.0589,0.0589,0.0785,0.0785,0.0785,0.0785,0.0982,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0.1178,0.1374,0.1374,0.1374,0.157,0.157,0.1767,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.1963,0.2159,0.2159,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,0.2356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa do Marfim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,0.0038,0.0114,0.0114,0.0114,0.0114,0.0114,0.0114,0.0152,0.019,0.0227,0.0227,0.0227,0.0227,0.0227,0.0303,0.0341,0.0341,0.0493,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0531,0.0569,0.0569,0.0644,0.0644,0.0682,0.0682,0.0758,0.0758,0.0796,0.0796,0.0796,0.0796,0.091,0.091,0.091,0.0948,0.1024,0.1061,0.1061,0.1099,0.1099,0.1099,0.1137,0.1137,0.1137,0.1137,0.1175,0.1213,0.1213,0.1251,0.1251,0.1251,0.1251,0.1327,0.1327,0.1365,0.1365,0.1365,0.1441,0.1441,0.1554,0.1554,0.1706,0.1706,0.1706,0.1744,0.1744,0.182,0.1858,0.1858,0.1971,0.2047,0.2123,0.2199,0.2199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croácia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0244,0.0731,0.0731,0.1218,0.1462,0.1462,0.1462,0.1462,0.1705,0.1949,0.2923,0.3654,0.3897,0.4385,0.4628,0.4872,0.5115,0.5115,0.5603,0.609,0.7551,0.8038,0.8526,0.8769,0.95,1.1449,1.1449,1.1692,1.1692,1.2179,1.2423,1.3154,1.3397,1.4372,1.5346,1.632,1.6808,1.8269,1.8756,1.9244,1.9487,2.0218,2.0705,2.0949,2.0949,2.1192,2.1923,2.2167,2.2167,2.2897,2.2897,2.3141,2.3141,2.3141,2.3141,2.3385,2.3385,2.3628,2.4115,2.4115,2.4115,2.4359,2.4603,2.4603,2.4846,2.509,2.509,2.509,2.509,2.509,2.509,2.509,2.509,2.5333,2.5333,2.5333,2.582,2.582,2.582,2.6064,2.6064,2.6064,2.6064,2.6064,2.6064,2.6064,2.6064,2.6064,2.6064,2.6064,2.6064,2.6064,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
