País Português,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154
Azerbaijão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099,0.0099,0.0197,0.0296,0.0296,0.0395,0.0395,0.0395,0.0493,0.0493,0.0493,0.0493,0.0493,0.069,0.069,0.0789,0.0789,0.0888,0.0986,0.1085,0.1085,0.1184,0.1282,0.1282,0.1479,0.1479,0.1775,0.1874,0.1874,0.1973,0.1973,0.1973,0.2071,0.2071,0.2071,0.217,0.217,0.2268,0.2367,0.2466,0.2466,0.2466,0.2564,0.2564,0.2762,0.2762,0.2762,0.3057,0.3156,0.3156,0.3255,0.3452,0.3452,0.3551,0.3551,0.3846,0.3945,0.4044,0.4241,0.434,0.4537,0.4833,0.4833,0.503,0.5129,0.5326,0.5523,0.572,0.6016,0.6214,0.6707,0.7003,0.7496,0.7693,0.8087,0.8285,0.8679,0.9172,0.9665,1.006,1.0652,1.1145,1.1342,1.1737,1.2033,1.2427,1.3117,1.3709,1.4104,1.4597,1.5189,1.5879,1.6471,1.7161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2543,0.2543,0.2543,1.0172,1.0172,1.2715,1.5258,1.7801,2.0344,2.0344,2.0344,2.0344,2.0344,2.0344,2.0344,2.0344,2.2887,2.2887,2.2887,2.2887,2.2887,2.2887,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,2.7972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrein,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0588,0.0588,0.0588,0.0588,0.0588,0.0588,0.1175,0.1175,0.1763,0.2351,0.2351,0.2351,0.2351,0.2351,0.2351,0.2351,0.2351,0.2351,0.2351,0.2351,0.2351,0.2351,0.2938,0.2938,0.2938,0.3526,0.3526,0.3526,0.3526,0.4114,0.4114,0.4114,0.4114,0.4114,0.4114,0.4114,0.4114,0.4114,0.4702,0.4702,0.4702,0.4702,0.4702,0.4702,0.4702,0.4702,0.4702,0.4702,0.4702,0.4702,0.4702,0.4702,0.4702,0.4702,0.4702,0.4702,0.4702,0.5289,0.5877,0.5877,0.7052,0.7052,0.7052,0.7052,0.7052,0.7052,0.7052,0.7052,0.764,0.8228,0.8228,0.8228,0.8815,0.8815,0.8815,0.9991,1.1166,1.1166,1.1166,1.1754,1.2342,1.2929,1.4105,1.528,1.5868,1.7043,1.8218,1.9981,2.1157,2.1745,2.4683,2.7034,2.7621,2.8797,3.2323,3.3498,3.5261,3.7025,3.82,3.9375,4.0551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bangladesh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006,0.0006,0.0006,0.0012,0.0012,0.0018,0.0024,0.003,0.003,0.003,0.003,0.003,0.003,0.003,0.0036,0.0036,0.0036,0.0049,0.0055,0.0073,0.0103,0.0121,0.0128,0.0164,0.0182,0.0206,0.0237,0.0279,0.0304,0.0364,0.0455,0.051,0.0553,0.0613,0.0668,0.0729,0.0771,0.0795,0.085,0.088,0.0923,0.0941,0.099,0.102,0.1032,0.1063,0.1075,0.1105,0.1111,0.1129,0.1208,0.1251,0.1299,0.1384,0.1451,0.1518,0.1633,0.1718,0.1809,0.1907,0.1992,0.2119,0.2247,0.2344,0.2477,0.2623,0.2745,0.2915,0.3042,0.317,0.3303,0.3394,0.3534,0.3704,0.3947,0.408,0.4305,0.453,0.4742,0.4924,0.5137,0.5392,0.5647,0.592,0.6145,0.637,0.6649,0.6916,0.711,0.7341,0.7663,0.7924,0.8155,0.8428,0.8653,0.8889,0.912,0.9381,0.9606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbados,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.348,0.696,1.0439,1.0439,1.0439,1.3919,1.3919,1.3919,1.3919,1.3919,1.7399,1.7399,1.7399,1.7399,1.7399,1.7399,1.7399,1.7399,2.0879,2.0879,2.0879,2.0879,2.0879,2.0879,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,2.4358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bielorrússia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0106,0.0212,0.0423,0.0423,0.0529,0.0847,0.1376,0.1376,0.1376,0.1693,0.2011,0.2434,0.2752,0.3069,0.3492,0.381,0.4233,0.4445,0.4762,0.4974,0.5397,0.5821,0.6138,0.635,0.6667,0.709,0.762,0.7937,0.836,0.889,0.9419,0.9842,1.0265,1.0477,1.09,1.1324,1.1853,1.2276,1.2805,1.3334,1.3863,1.4287,1.5028,1.5451,1.598,1.6509,1.6932,1.7462,1.8097,1.852,1.8943,1.9578,2.0107,2.0531,2.106,2.1589,2.2012,2.2647,2.3176,2.3705,2.4235,2.487,2.5399,2.5716,2.6245,2.6774,2.7409,2.7833,2.8468,2.9208,2.9843,3.0478,3.1008,3.1537,3.2066,3.2595,3.3018,3.3653,3.4288,3.5029,3.5664,3.6299,3.6616,3.7146,3.778,3.831,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bélgica,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0259,0.0259,0.0259,0.0345,0.0345,0.0431,0.0863,0.1208,0.1812,0.3193,0.5781,0.6471,0.7593,1.0527,1.5359,1.8982,2.4936,3.0458,3.7188,4.4264,6.083,7.1443,8.7233,9.8623,11.0702,12.4853,14.0816,17.5588,19.3276,21.7695,26.0492,28.8707,31.0623,33.6767,35.8683,38.3101,41.9082,44.5485,47.0507,49.0352,50.2864,51.7532,54.0311,55.9984,57.6291,59.6827,61.2099,62.1849,63.2549,64.7217,65.5241,66.4646,66.9996,67.6812,68.3715,69.1653,71.9523,72.6081,73.5227,74.0404,74.6875,75.1276,75.5935,76.301,76.8187,77.3019,77.6988,78.1044,78.3459,78.5875,78.9499,79.2606,79.4849,79.7006,80.0716,80.3477,80.5376,80.7964,81.0035,81.3659,81.5643,81.6851,81.8491,82.013,82.1597,82.384,82.5394,82.6602,82.7896,82.8845,82.9967,83.0829,83.1433,83.2296,83.2641,83.3073,83.3591,83.3763,83.4799,83.5489,83.6524,83.661,83.661,83.661,83.8077,83.8854,,,,,,,,,,,,,
Belize,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2515,0.2515,0.2515,0.2515,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,0.503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benim,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0082,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0165,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.0247,0.033,0.033,0.033,0.033,0.0412,0.0495,0.0495,0.0742,0.0742,0.0742,0.0907,0.0907,0.0907,0.1072,0.1072,0.1072,0.1072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
