País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Burkina Faso,0,0,0,0,0,0,1,15,114,261,384,528,600,638,688,766,796,832,881,891,895,907,962,1003,1037,1065,1105,1153,1211,1280,1338,1370,1466,1733,1907,2032,2197,2305,2406,2466,2530,2582,2635
Myanmar,0,0,0,0,0,0,0,0,0,15,22,63,121,150,161,180,193,206,232,246,262,292,299,316,337,341,351,356,360,376,504,919,1807,3636,6959,12425,20033,30437,38502,47666,55804,63241,68011
Burundi,0,0,0,0,0,0,0,0,0,2,3,5,5,11,15,15,42,42,63,83,104,144,170,191,269,328,378,395,408,416,430,445,466,472,474,506,514,529,550,558,597,615,627
Cabo Verde,0,0,0,0,0,0,0,0,3,6,7,11,68,114,186,267,335,390,466,585,781,982,1227,1499,1722,2107,2354,2631,2920,3253,3568,3970,4400,4904,5337,5900,6518,7254,7901,8472,8944,9499,9780
Camboja,1,1,1,1,1,1,2,33,91,109,115,122,122,122,122,122,122,124,125,126,128,130,141,141,165,197,226,243,268,273,273,274,274,275,275,277,280,283,286,290,292,300,302
Camarões,0,0,0,0,0,0,2,10,66,193,658,848,1163,1705,2104,2689,3529,5436,6585,8312,9864,12270,12592,14916,15173,16522,17179,17718,18213,18599,18973,19409,19848,20271,20598,20838,20924,21203,21570,21793,22103,22421,22692
Canadá,2,4,7,8,11,30,79,478,2790,8527,17872,27035,39402,51150,63215,72419,80493,88090,93960,98241,101087,103767,106097,108023,110350,113473,116871,119659,122389,125084,127903,131422,135757,140900,148855,158991,173756,189489,206349,225703,247916,276479,295131
República Centro-Africana,0,0,0,0,0,0,0,1,3,3,8,11,14,50,85,143,366,671,1069,1850,2410,3051,3745,4071,4356,4561,4599,4618,4645,4679,4691,4711,4735,4772,4802,4806,4852,4854,4858,4863,4866,4884,4896
Chade,0,0,0,0,0,0,0,0,3,7,10,23,33,52,170,357,545,700,803,844,853,860,866,873,884,889,926,938,946,970,995,1017,1045,1087,1155,1193,1238,1321,1399,1460,1513,1561,1591
Chile,0,0,0,0,2,10,25,228,977,2844,5310,8356,11700,16044,24794,36710,58167,92855,132548,175365,218728,250767,279393,301019,319493,334683,349800,362962,376616,388855,400985,413145,425541,437983,448523,461300,473306,484280,494478,504525,514202,523907,529676
China,5509,23707,44386,74211,77754,80261,80887,81058,81591,82279,82718,83306,83853,83940,83968,84018,84063,84103,84161,84198,84422,84653,84785,84917,85226,85708,86990,88206,88958,89494,89752,89933,90087,90235,90399,90528,90667,90858,91022,91222,91478,91719,91828
Colômbia,0,0,0,0,0,0,3,75,378,906,1780,2979,4149,5949,8613,12272,16935,23003,31833,42078,54931,73572,97846,124494,159898,211038,267385,334979,410453,489122,562113,624026,679513,728590,777537,824042,869808,924098,974139,1033218,1099392,1155356,1191634
Comores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,11,87,132,141,197,265,303,311,321,337,354,388,399,406,417,427,456,467,470,479,491,496,504,517,545,569,579
República do Congo,0,0,0,0,0,0,0,1,4,19,45,60,165,207,236,333,420,487,611,728,883,1087,1087,1557,2028,2851,3200,3546,3745,3831,3979,3979,4891,4934,5002,5008,5089,5118,5156,5253,5348,5379,5515
República Democrática do Congo,0,0,0,0,0,0,0,3,45,98,180,241,350,471,705,1102,1629,2403,3326,4259,4974,6027,7039,7432,8135,8534,8873,9178,9499,9721,9891,10104,10292,10401,10523,10631,10789,10872,11066,11191,11427,11642,11760
Costa Rica,0,0,0,0,0,0,9,41,177,347,483,618,669,705,755,804,882,956,1105,1375,1796,2368,3459,5486,8482,11811,16344,19837,24508,29643,35305,42184,49897,58137,66689,74604,82142,90238,97922,105322,112120,118566,123223
