País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
Mongólia,0,0,0,0,0,0,1,5,10,12,15,30,34,38,41,42,140,141,185,194,197,215,220,227,261,287,291,293,293,298,300,306,310,311,313,313,315,320,327,340,352,382,428
Montenegro,0,0,0,0,0,0,0,2,47,109,241,283,313,321,324,324,324,324,324,324,326,378,548,907,1287,2381,2949,3361,3748,4132,4444,4917,5875,7061,9138,10575,12584,14268,15892,17091,19977,24154,26686
Marrocos,0,0,0,0,0,1,3,38,170,617,1184,1888,3209,4252,5219,6418,7023,7577,7866,8437,8931,10344,12533,14607,16097,17742,21387,27217,35195,44803,54528,63781,75721,90324,105346,121183,137248,156946,179003,203733,229565,265165,288211
Moçambique,0,0,0,0,0,0,0,0,3,8,10,28,39,76,81,104,146,213,307,453,638,757,889,1040,1268,1536,1720,2029,2481,2991,3508,4039,4647,5713,7114,8556,9398,10258,11190,12273,13202,13892,14340
Namíbia,0,0,0,0,0,0,0,2,7,11,16,16,16,16,16,16,16,21,25,31,34,72,205,539,864,1366,1917,2470,3229,4464,6160,7692,8928,9901,10607,11140,11673,12000,12367,12729,13030,13253,13449
Nepal,1,1,1,1,1,1,1,1,2,5,9,16,43,54,82,217,402,772,2099,4086,6591,10099,13564,16168,17061,17994,19063,21009,23948,28257,33533,40529,48138,56788,66632,76258,90814,115358,139129,160400,179614,199760,208299
Países Baixos,0,0,0,0,0,24,382,1711,5580,12667,19709,27580,34317,38612,41286,43183,44449,45780,46852,48109,49295,49930,50483,50907,51362,52307,53647,56279,60391,65560,69683,73802,79792,88673,102844,122620,150413,194591,250411,318152,382440,426227,449501
Nova Zelândia,0,0,0,0,0,1,5,12,155,647,1160,1366,1445,1474,1488,1497,1503,1504,1504,1504,1506,1516,1528,1537,1547,1555,1559,1569,1570,1649,1695,1757,1788,1802,1824,1836,1861,1874,1912,1943,1971,1988,2001
Nicarágua,0,0,0,0,0,0,0,0,2,5,6,9,10,13,16,25,254,759,1118,1464,1823,2170,2519,2846,3147,3439,3672,3902,4115,4311,4494,4668,4818,4961,5073,5170,5264,5353,5434,5514,5514,5661,5661
Níger,0,0,0,0,0,0,0,0,3,27,278,570,657,709,763,854,914,952,960,974,1016,1051,1075,1094,1099,1113,1136,1152,1158,1167,1173,1176,1178,1182,1193,1196,1200,1203,1212,1218,1222,1256,1301
Nigéria,0,0,0,0,0,1,2,3,44,135,254,373,665,1532,2950,4787,6401,8344,10819,13464,17148,21371,25694,29789,33616,37801,41804,44433,47290,49895,52800,54247,55456,56478,57613,58647,59583,60655,61630,62224,63173,64336,64996
Macedônia do Norte,0,0,0,0,0,1,7,26,148,329,599,908,1231,1421,1526,1674,1839,2014,2391,3239,4299,5311,6334,7244,8332,9412,10315,11202,12083,12970,13799,14455,15226,15925,16867,17786,19096,21193,24196,27827,33908,41222,46062
Noruega,0,0,0,0,0,32,400,1463,2863,4641,6086,6623,7191,7660,7955,8157,8267,8383,8455,8576,8660,8772,8879,8947,9001,9053,9150,9362,9751,10111,10454,10871,11623,12393,13153,13915,14784,15793,16772,18666,21956,25887,28434
Omã,0,0,0,0,2,12,18,24,84,192,371,813,1508,2131,2735,3721,5671,8118,12799,18198,25269,32394,40070,48997,59568,69887,77904,79159,82050,83418,84652,85928,87590,90660,94711,98585,102648,107213,111033,113820,116528,118884,119442
Paquistão,0,0,0,0,2,5,19,299,1063,2118,4263,6383,10076,15525,24073,35298,45898,59151,80463,113702,154760,188926,213470,237489,255769,267428,275225,280461,285191,289832,293711,296149,299659,303089,307418,312263,316351,320463,324744,330200,337573,348184,356904
Panamá,0,0,0,0,0,0,1,69,345,1181,2100,3472,4658,6021,7523,8783,9867,11447,14095,17233,21962,27314,33550,40291,48096,55153,62223,69424,76464,82790,88381,93552,98407,102832,107284,111853,116602,121296,125739,130422,135592,141302,145309
Papua-Nova Guiné,0,0,0,0,0,0,0,0,1,1,2,2,7,8,8,8,8,8,8,8,8,9,11,11,11,27,63,114,214,347,419,460,503,511,527,534,541,565,581,588,597,599,600
Paraguai,0,0,0,0,0,0,1,9,27,65,115,159,208,239,431,737,829,877,1013,1187,1303,1422,2221,2502,3074,3817,4674,5852,7519,10606,14228,18338,24214,29298,34828,40101,45647,51197,56073,60557,64628,68497,71065
Peru,0,0,0,0,0,0,11,117,416,1065,2954,10303,17837,31190,51189,72059,99483,129751,178165,203736,237156,260810,285213,309278,333867,362087,395005,439890,489680,541493,600438,652037,691575,733860,768895,808714,829999,853974,870876,890574,902503,923527,932650
Filipinas,0,2,3,3,3,3,33,187,552,2084,3764,5223,6599,7958,9684,11350,12942,14669,18997,22992,26781,31825,37514,47873,57545,70764,83673,112593,139538,169213,197164,224264,241987,269407,291789,309303,326833,344713,360775,373144,387161,399749,406337
Polónia,0,0,0,0,0,0,22,238,901,2311,4848,7202,9856,12218,14431,16921,19268,22074,24395,27560,30195,32527,34393,36412,38457,40782,43904,48149,52961,57876,63073,67922,71526,75134,80699,89962,104316,135278,192539,280229,414844,593592,691118
Portugal,0,0,0,0,0,2,41,448,2362,7443,12442,17448,21379,24322,25702,27913,29432,31007,32895,35306,37336,39737,42141,44416,47051,48898,50410,51681,52945,54448,55912,58243,60895,65021,69663,74717,80312,89121,103736,124432,149443,187237,211266
Catar,0,0,0,0,0,7,24,439,526,781,2057,3428,6533,11921,17142,25149,35606,47207,60259,71879,82077,89579,96088,100945,104533,107430,109880,111538,113646,115661,117498,118994,120579,122214,123917,125533,126943,128405,129944,131689,133143,134663,135570
Roménia,0,0,0,0,0,3,25,184,794,2245,4417,6879,9242,11616,13837,15778,17191,18429,19517,20749,22415,24505,26970,29620,33585,39133,47053,55241,63762,72208,80390,88593,97033,105298,114648,125414,139612,160461,186254,217216,258437,314295,353185
Rússia,0,2,2,2,2,3,20,114,495,2337,7497,21102,52763,93558,155370,232243,299941,362342,423186,484630,544725,598878,646929,693215,738787,782040,822060,859762,895691,930276,963655,997072,1032354,1069873,1111157,1162428,1231277,1318783,1422775,1537142,1661096,1802762,1887836
Ruanda,0,0,0,0,0,0,0,7,40,75,105,134,150,212,261,286,308,339,384,463,636,798,1025,1172,1416,1655,1926,2099,2171,2577,3537,4142,4439,4624,4738,4836,4873,4908,4996,5084,5162,5262,5394
São Cristóvão e Névis,0,0,0,0,0,0,0,0,0,8,11,14,15,15,15,15,15,15,15,15,15,15,15,16,17,17,17,17,17,17,17,17,17,17,19,19,19,19,19,19,19,19,19
Santa Lúcia,0,0,0,0,0,0,0,2,3,13,14,15,15,15,18,18,18,18,18,19,19,19,19,22,22,23,24,25,25,26,26,26,26,27,27,27,27,29,36,65,97,148,160
São Vicente e Granadinas,0,0,0,0,0,0,0,1,1,1,8,12,12,15,17,17,17,18,26,27,29,29,29,29,35,50,52,55,57,58,58,61,62,64,64,64,64,64,68,74,75,76,78
San Marino,0,0,0,0,0,10,51,109,187,236,279,371,476,553,589,638,655,666,672,688,694,698,698,698,699,699,699,699,699,702,710,715,735,723,723,727,732,741,766,852,994,1114,1253
São Tomé e Príncipe,0,0,0,0,0,0,0,0,0,0,4,4,4,8,174,208,251,441,484,514,671,707,714,724,732,746,867,875,881,885,892,896,898,907,908,911,914,929,933,941,954,962,964
Arábia Saudita,0,0,0,0,0,1,20,171,767,1563,2795,5369,11631,20077,30251,42925,59854,76726,89011,108571,136315,164144,190823,217108,237803,255825,270831,281456,291468,301323,309768,316670,322237,326930,330798,334187,337243,340089,342968,345631,348510,351455,352950
Senegal,0,0,0,0,0,2,4,26,86,175,237,299,412,823,1329,1995,2617,3161,3836,4516,5247,6034,6793,7547,8243,8985,9805,10432,11380,12305,13056,13655,14044,14529,14759,14945,15141,15307,15459,15571,15640,15720,15779
Sérvia,0,0,0,0,0,0,5,65,303,900,2447,4465,6890,8497,9677,10243,10733,11227,11454,11965,12426,13092,14564,16719,18983,21605,24520,26738,28497,29890,30820,31482,31994,32511,32999,33479,34072,35006,36608,40880,51083,66888,81086
Seychelles,0,0,0,0,0,0,0,4,7,10,11,11,11,11,11,11,11,11,11,11,11,11,81,81,100,108,114,114,127,127,136,136,137,140,143,143,148,148,149,153,157,158,160
Serra Leoa,0,0,0,0,0,0,0,0,0,1,6,11,50,104,199,338,534,754,896,1025,1225,1347,1462,1572,1651,1727,1786,1855,1932,1959,2001,2028,2064,2126,2174,2222,2277,2309,2336,2350,2368,2386,2391
Singapura,7,24,47,81,91,110,160,266,558,926,1481,3252,9125,14951,19410,24671,28794,32343,35836,38514,40969,42432,43907,45140,46630,48434,51197,53346,55353,55938,56435,56852,57091,57488,57627,57742,57830,57884,57921,57980,58029,58073,58116
Eslováquia,0,0,0,0,0,0,7,72,204,363,581,835,1199,1384,1421,1465,1495,1513,1522,1531,1552,1589,1667,1767,1908,2021,2204,2368,2615,2922,3452,3989,4727,5768,6931,9574,13812,20886,31400,46056,63556,77123,85567
Eslovénia,0,0,0,0,0,0,31,275,480,802,1059,1220,1344,1408,1445,1461,1467,1469,1475,1486,1499,1534,1600,1739,1859,1977,2101,2190,2272,2456,2686,2924,3232,3831,4558,5487,6764,9231,14473,25603,37382,46717,54122
Ilhas Salomão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,8,13,16,16
Somália,0,0,0,0,0,0,0,1,1,5,8,60,286,528,835,1170,1502,1711,2089,2416,2658,2812,2924,3015,3076,3135,3212,3220,3227,3257,3275,3310,3371,3390,3465,3588,3745,3864,3890,3941,4229,4301,4301
África do Sul,0,0,0,0,0,0,7,62,554,1353,1749,2415,3465,4996,7572,11350,17200,24264,35812,52991,76334,106108,151209,215855,298292,381798,459761,521318,566109,592144,613017,628259,640441,651521,663282,672572,683242,694537,706304,717851,728836,740254,749182
Sudão do Sul,0,0,0,0,0,0,0,0,0,0,2,4,4,34,52,194,290,806,994,1604,1776,1930,2007,2021,2148,2211,2305,2437,2472,2490,2507,2527,2552,2592,2660,2700,2734,2798,2847,2890,2940,2960,3003
Espanha,0,1,2,2,6,165,1695,11748,39885,95923,141942,172541,204178,213024,219329,228030,232037,236259,239932,241966,244328,246752,249271,252130,256619,266194,280610,302814,326612,364196,412553,470973,534513,603167,682267,748266,825410,896086,988322,1116738,1259366,1381218,1458591
Sri Lanka,1,1,1,1,1,1,1,44,102,143,185,233,310,619,771,889,1027,1319,1683,1859,1915,1991,2047,2081,2665,2730,2810,2834,2880,2902,2971,3092,3140,3271,3313,3374,4252,5038,5811,8870,11744,14715,16583
Sudão,0,0,0,0,0,0,0,1,3,7,14,32,107,318,778,1661,2728,3976,5310,6427,7740,8889,9257,9997,10417,10992,11496,11780,12033,12485,12974,13189,13437,13535,13578,13640,13653,13691,13724,13747,13905,14155,14401
Suriname,0,0,0,0,0,0,0,1,7,9,10,10,10,10,10,10,11,11,54,137,236,319,515,634,801,1131,1510,1981,2559,3216,3698,4089,4419,4625,4759,4863,4965,5072,5144,5187,5218,5245,5274
Suécia,0,1,1,1,1,32,424,1265,2398,4834,8299,11828,15831,20168,23826,28055,31818,35617,40210,46299,53729,61030,67924,71210,73364,74902,76215,77916,80045,81972,83578,84521,85707,87345,89436,92466,96145,100654,106380,115785,134532,162240,177355
Suíça,0,0,0,0,1,56,491,2700,9877,16605,22253,25936,28063,29264,30009,30380,30618,30761,30874,30988,31154,31332,31714,32369,33016,33742,34609,35746,36895,38449,40262,42393,44837,47751,50664,52871,56632,65881,86167,127042,182303,235202,257135
Síria,0,0,0,0,0,0,0,0,1,10,19,29,42,43,44,47,58,121,123,146,177,231,279,372,439,540,694,892,1327,1844,2365,2830,3289,3614,3877,4148,4457,4826,5180,5528,5888,6352,6613
Taiwan,8,11,18,22,31,42,47,77,215,322,376,393,425,429,438,440,440,441,443,443,445,446,447,449,451,451,467,476,480,486,487,488,495,499,509,513,521,530,543,550,567,580,600
Tajiquistão,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,729,1936,3266,4100,4690,5160,5567,5900,6315,6643,6967,7276,7583,7871,8131,8379,8619,8860,9129,9432,9726,10014,10297,10574,10860,11139,11417,11573
Tanzânia,0,0,0,0,0,0,0,1,12,19,24,53,254,299,480,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509,509
Tailândia,14,25,33,35,37,43,53,177,827,1651,2258,2613,2811,2938,2988,3017,3033,3045,3083,3121,3135,3156,3171,3197,3227,3255,3297,3321,3351,3382,3402,3425,3447,3490,3514,3564,3615,3652,3709,3759,3804,3847,3874
Timor-Leste,0,0,0,0,0,0,0,0,1,1,1,6,23,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,25,25,26,27,27,27,27,28,28,29,29,30,30,30,30
Togo,0,0,0,0,0,0,1,1,20,34,65,77,86,99,128,199,338,391,445,501,537,576,650,689,731,790,896,988,1070,1173,1309,1416,1513,1595,1683,1759,1881,1972,2104,2229,2381,2558,2651
Trinidad e Tobago,0,0,0,0,0,0,0,5,57,87,107,113,115,116,116,116,116,116,117,117,123,123,130,133,133,139,153,194,300,629,1252,1797,2391,3223,4026,4463,4846,5127,5333,5568,5754,5880,6077
Tunísia,0,0,0,0,0,0,5,24,114,394,623,747,884,975,1022,1032,1044,1051,1086,1087,1125,1159,1174,1205,1306,1389,1468,1584,1738,2314,3069,3963,5417,7623,11260,17405,22230,32556,44450,52399,63126,72993,79339
Turquia,0,0,0,0,0,0,0,47,1872,13531,34109,65111,95591,114653,129491,141475,151615,158762,165555,172114,181298,190165,199906,207897,214993,221500,227982,234934,243180,251805,261194,271705,283270,294620,306302,317272,327557,338779,351413,366208,382118,399360,411055
Estados Unidos,5,11,13,14,16,74,782,6512,56629,192101,403073,613973,816302,1018837,1210458,1375989,1534386,1685682,1832782,1974024,2130631,2340044,2628321,2987076,3422127,3888195,4343900,4756107,5124380,5466580,5759774,6054989,6314940,6580228,6884162,7172152,7479021,7836979,8262326,8767572,9404058,10256094,10903890
Uganda,0,0,0,0,0,0,0,0,9,44,52,55,61,79,98,129,260,264,489,657,724,797,889,971,1040,1072,1135,1203,1313,1603,2426,3037,3900,5123,6712,8017,9082,9945,10788,11621,13099,14704,15789
Ucrânia,0,0,0,0,0,1,1,14,97,645,1462,3372,6125,9410,12697,16023,18876,21584,24895,28479,33209,38901,45254,50622,55931,61454,68030,75880,85023,96653,110949,126279,143914,163678,185890,210309,240811,277982,317967,366233,423683,493544,540593
Emirados Árabes Unidos,0,5,8,9,13,27,74,98,248,664,2359,4933,7755,11380,15192,19661,25063,31086,35788,39904,42982,45683,48667,52600,55573,57498,59546,61352,62966,64906,67621,70805,75098,80940,86447,93090,100794,108608,117594,127624,136149,144385,149135
Reino Unido,0,8,15,19,34,189,889,4462,15126,38815,72224,102365,136035,168357,196780,218895,236867,250309,260453,267915,274971,281038,285216,287874,292931,297389,302261,307926,314542,322177,329821,339415,354932,376670,406058,448729,532779,637708,765487,920664,1077099,1237198,1347907
Uruguai,0,0,0,0,0,0,0,50,189,338,424,501,543,625,670,717,738,789,826,846,849,885,936,965,997,1096,1218,1300,1385,1485,1536,1611,1712,1827,1934,2033,2177,2337,2623,2916,3196,3620,3957
Uzbequistão,0,0,0,0,0,0,0,10,50,172,520,1165,1678,1939,2207,2519,2855,3290,3760,4520,5493,6662,8503,10838,14085,17881,21699,27047,31747,36352,39641,42127,44281,48429,52685,56354,59343,61642,63831,65881,67553,69027,69987
Vanuatu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Venezuela,0,0,0,0,0,0,0,33,84,135,165,189,285,329,361,423,749,1211,1819,2632,3150,4187,5832,7693,10010,12774,16571,21438,27938,35697,41158,47756,55563,62655,68453,74363,79796,84391,87644,90400,93100,95445,96933
Vietnã,2,8,15,16,16,16,31,66,134,212,249,266,268,270,271,288,324,327,328,332,334,349,355,369,373,401,446,672,866,989,1029,1044,1054,1063,1068,1094,1098,1113,1141,1172,1202,1226,1265
Cisjordânia e Faixa de Gaza,0,0,0,0,0,0,26,39,59,119,261,284,329,343,371,375,391,429,451,481,514,1169,2428,4647,6764,9228,10938,12770,14875,17306,19678,23281,27363,32250,36580,39541,42432,45200,48129,51528,55408,59422,62167
Saara Ocidental,0,0,0,0,0,0,0,0,0,0,4,6,6,6,6,6,6,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
Iémen,0,0,0,0,0,0,0,0,0,0,0,1,1,1,22,65,167,249,399,524,885,992,1158,1297,1516,1629,1703,1760,1832,1889,1924,1962,1994,2016,2028,2031,2047,2053,2057,2060,2063,2071,2072
Zâmbia,0,0,0,0,0,0,0,0,3,35,39,45,70,95,138,441,772,920,1089,1200,1405,1477,1594,1895,1895,3386,5002,6793,8275,9981,11285,12381,12952,13819,14389,14715,15170,15587,15982,16243,16661,16997,17097
Zimbábue,0,0,0,0,0,0,0,0,3,8,11,17,28,32,40,36,46,56,206,314,391,525,591,787,1064,1820,2817,4221,4818,5378,6196,6559,7388,7576,7711,7837,7915,8036,8187,8315,8410,8610,8786
