País Português,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Barbados,0.0,0.0,2.0,4.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,,,,,,
Bielorrússia,0.0,0.0,0.0,0.0,4.0,16.0,40.0,60.0,89.0,116.0,151.0,185.0,219.0,253.0,293.0,331.0,367.0,405.0,449.0,485.0,519.0,553.0,580.0,599.0,627.0,662.0,696.0,732.0,771.0,802.0,839.0,880.0,916.0,945.0,973.0,998.0,1027.0,1074.0,1128.0,1181.0,1238.0,1299.0,1358.0,1424.0,1489.0,1554.0,,,,,,
Bélgica,0.0,0.0,0.0,0.0,0.0,5.0,88.0,513.0,1632.0,3903.0,5828.0,7207.0,7924.0,8707.0,9080.0,9312.0,9486.0,9606.0,9661.0,9696.0,9732.0,9774.0,9782.0,9805.0,9822.0,9850.0,9879.0,9944.0,9996.0,9996.0,9909.0,9927.0,9950.0,9987.0,10078.0,10211.0,10443.0,10899.0,11858.0,13216.0,14616.0,15755.0,16645.0,17386.0,18054.0,18697.0,19234.0,19750.0,20122.0,20294.0,,
Belize,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,6.0,13.0,15.0,19.0,21.0,24.0,29.0,37.0,44.0,50.0,59.0,70.0,90.0,116.0,147.0,173.0,195.0,213.0,233.0,250.0,274.0,280.0,,,,,,,,,
Benim,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3.0,3.0,6.0,13.0,16.0,21.0,26.0,31.0,35.0,36.0,38.0,39.0,39.0,40.0,40.0,40.0,40.0,40.0,41.0,41.0,41.0,41.0,41.0,43.0,43.0,43.0,43.0,44.0,44.0,44.0,44.0,44.0,44.0,46.0,,,,,,,,
Butão,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,
Bolívia,0.0,0.0,6.0,14.0,28.0,34.0,55.0,86.0,128.0,189.0,274.0,376.0,487.0,659.0,846.0,1123.0,1530.0,1898.0,2273.0,2720.0,3320.0,3761.0,4172.0,4664.0,5101.0,7097.0,7447.0,7693.0,7931.0,8156.0,8351.0,8526.0,8672.0,8751.0,8808.0,8866.0,8928.0,8963.0,9002.0,9026.0,9052.0,9135.0,9241.0,9454.0,9530.0,,,,,,,
Bósnia e Herzegovina,0.0,0.0,3.0,13.0,34.0,41.0,53.0,65.0,86.0,120.0,136.0,151.0,157.0,161.0,168.0,173.0,188.0,209.0,235.0,268.0,316.0,379.0,453.0,507.0,571.0,627.0,675.0,736.0,790.0,856.0,908.0,958.0,1031.0,1161.0,1358.0,1701.0,2089.0,2429.0,2773.0,3151.0,3511.0,3838.0,4050.0,4211.0,4399.0,4411.0,,,,,,
Botswana,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,3.0,3.0,6.0,8.0,10.0,13.0,16.0,16.0,18.0,20.0,21.0,24.0,27.0,27.0,31.0,31.0,34.0,37.0,38.0,40.0,42.0,48.0,71.0,,,,,,,,,,
Brasil,0.0,0.0,1.0,46.0,201.0,686.0,1532.0,2741.0,5083.0,7938.0,12461.0,17983.0,24512.0,31199.0,38406.0,45241.0,52645.0,59594.0,66741.0,74133.0,81487.0,88539.0,95819.0,103026.0,109888.0,116580.0,122596.0,127464.0,133119.0,138105.0,142921.0,147494.0,150998.0,154837.0,157946.0,160496.0,162802.0,166699.0,170115.0,173817.0,178159.0,182799.0,188259.0,192681.0,197732.0,204690.0,207095.0,,,,,
